genus,FFG_fi,FFG_ga,FFG_sh,FFG_sc,FFG_pr,HTG_bu,HTG_cm,HTG_cn,HTG_sp,HTG_sw
Abtrichia,0,1,1,0,0,0,0,1,0,0
Acanthaeschna,0,0,0,0,1,0,0,1,1,0
Acanthagrion,0,0,0,0,1,0,1,1,1,0
Acanthallagma,0,0,0,0,1,0,0,1,1,0
Acanthiops,0,1,0,1,0,0,1,1,0,1
Acanthometropus,1,0,0,0,1,0,0,1,1,1
Acanthophlebia,0,1,1,0,0,1,0,1,1,1
Acentrella,0,1,0,0,0,0,0,1,1,1
Aceratobasis,0,0,0,0,1,0,1,0,1,0
Acerpenna,0,1,0,1,0,0,0,1,0,1
Achoropsyche,0,1,0,0,1,1,1,1,1,1
Aciagrion,0,0,0,0,1,0,1,1,0,0
Acisoma,0,0,0,0,1,0,1,1,1,0
Acritoptila,0,0,0,1,0,0,0,1,0,0
Acrogomphus,0,0,0,0,1,1,0,0,0,0
Acroneuria,0,0,0,0,1,0,0,1,0,1
Acroperla,0,0,0,0,0,0,0,0,0,0
Acrophylax,0,0,1,1,1,0,0,1,1,0
Acrotopsyche,0,1,0,1,0,0,0,1,0,0
Acruroperla,0,0,0,0,0,0,0,0,0,0
Adebrotus,0,1,0,0,0,0,0,1,0,1
Adenophlebia,0,1,1,0,0,0,0,1,1,1
Adenophlebiodes,0,1,1,0,0,0,0,1,1,1
Adicella,0,1,1,0,0,0,0,0,0,1
Adicrophleps,0,0,1,0,0,0,0,1,0,0
Adnoptilum,0,1,0,1,0,0,0,1,0,1
Adversaeschna,0,0,0,0,1,0,1,1,0,0
Aeolagrion,0,0,0,0,1,0,1,1,1,0
Aeschnophlebia,0,0,0,0,1,0,1,1,0,0
Aeschnosoma,0,0,0,0,1,0,1,0,1,0
Aeshna,0,0,0,0,1,0,1,1,1,1
Aethaloptera,1,0,0,0,1,0,0,1,0,0
Aethiothemis,0,0,0,0,1,0,1,0,1,0
Aethriamanta,0,0,0,0,1,0,1,1,0,0
Afghanurus,0,1,0,1,0,0,0,1,0,0
Africallagma,0,0,0,0,1,0,1,0,1,0
Africocypha,0,0,0,0,0,0,0,0,0,0
Afroaeschna,0,0,0,0,1,0,1,1,0,0
Afrobaetodes,0,1,0,1,0,0,0,1,0,1
Afronurus,0,1,0,1,1,0,0,1,0,0
Afroperlodes,0,0,0,0,1,0,0,1,0,0
Afroptilum,0,1,0,1,0,0,0,1,0,1
Afrorheithrus,0,0,0,0,0,0,0,0,0,0
Agabus,0,0,0,0,1,0,0,0,0,1
Agapetus,1,1,0,1,0,0,0,1,0,0
Agarodes,0,1,1,0,0,1,0,0,1,0
Agnetina,0,0,0,0,1,0,0,1,0,1
Agraylea,1,1,0,1,0,0,1,0,0,0
Agriocnemis,0,0,0,0,1,0,1,1,1,0
Agriogomphus,0,0,0,0,1,1,0,1,0,0
Agriomorpha,0,0,0,0,0,0,0,0,0,0
Agrionoptera,0,0,0,0,1,0,1,0,1,0
Agrypnetes,0,0,1,0,1,0,1,0,0,0
Agrypnia,0,1,1,0,1,0,1,0,0,0
Agyrtacantha,0,0,0,0,1,0,1,1,1,0
Alainites,0,1,0,0,0,0,0,1,0,1
Alaskaperla,0,0,0,1,0,0,0,1,0,0
Alisotrichia,0,1,0,1,0,0,0,1,0,0
Allenhyphes,0,1,0,1,0,0,0,1,0,0
Allocapnia,0,1,1,0,0,0,0,1,0,1
Allocnemis,0,0,0,0,0,0,0,0,0,0
Allocosmoecus,0,0,0,1,0,0,0,0,1,0
Alloecella,0,0,0,0,0,0,0,0,0,0
Alloecentrella,0,0,0,0,0,0,0,0,0,0
Allogamus,0,1,1,0,1,1,0,1,1,0
Allomyia,0,1,1,1,0,0,0,1,0,0
Alloperla,0,1,0,0,1,0,0,1,0,1
Alloretochus,1,1,0,0,0,1,0,0,1,0
Allotrichia,0,0,0,0,0,0,0,0,0,0
Alpopsyche,0,0,0,0,0,0,0,0,0,0
Amanahyphes,0,1,0,1,0,0,0,1,0,0
Amazonatolica,0,0,0,0,0,0,0,0,0,0
Amazoneura,0,0,0,0,1,0,1,0,0,1
Ameletoides,0,0,0,0,0,0,0,0,0,0
Ameletopsis,0,0,0,0,1,0,0,0,0,1
Ameletus,0,1,0,1,0,0,0,1,0,1
Amercaenis,1,0,0,0,0,0,0,0,0,1
Americabaetis,0,0,0,0,0,0,0,1,0,0
Ametropus,1,1,0,0,0,1,0,0,1,1
Amiocentrus,1,1,0,0,0,0,1,1,0,0
Amphiagrion,0,0,0,0,1,0,1,0,0,0
Amphiallagma,0,0,0,0,1,0,0,0,1,0
Amphicnemis,0,0,0,0,1,0,1,0,1,0
