HYBAS_ID,TDq0,TDq1,SR,SH,FDq0,FDq1,FRic,Taxonomic.Observed,Proportion
1040008480,32.70766325,19.39885286,33,2.968456108,3.416780395,2.73231479,7.30896916,19.4618494,1.003247436
1040009450,63.11466828,37.94969751,44,3.424661161,3.817474536,3.078794947,7.673388108,30.71223657,0.809288047
1040011660,18.1562318,10.42423552,13,2.21896183,3.280176298,2.732015979,5.384942694,9.197777047,0.882345476
1040011670,41.76311806,26.31385165,38,3.21121569,3.614357038,2.983862598,7.30896916,24.80922824,0.9428201
1040012680,41.12292186,24.44349541,48,3.255229847,3.740943995,3.193585095,7.30896916,25.92557277,1.060632791
1040012690,25.2935038,13.97433349,26,2.653161069,3.306789085,2.745803257,6.875693344,14.19885132,1.016066443
1040012810,41.13410901,26.96394978,44,3.332969175,3.783069612,3.34069067,7.30896916,28.0214188,1.039217882
1040012820,41.89168125,27.37572283,54,3.387027276,3.677216977,3.015861991,7.30896916,29.57789452,1.080442504
1040014500,22.33636533,15.33576266,28,2.79173357,3.255279287,2.536932539,13.7985666,16.30926856,1.063479458
1040014920,21.4402988,14.83102317,19,2.631479877,3.40595783,2.697777948,6.081801707,13.89431657,0.936841404
1040014930,32.17470195,19.56595476,35,2.995164914,4.091601576,3.051267805,13.14283812,19.98865602,1.021603917
1040015030,34.89102593,15.3549142,40,2.767565802,5.182938683,3.05724275,18.54345315,15.91983477,1.036790865
1040015860,23.18540384,14.40765868,27,2.728861411,3.165145537,2.760583767,5.384942694,15.31543909,1.063006796
1040018120,26.46073698,19.80785037,27,3.000233305,3.486753652,3.044900051,6.875693344,20.09022352,1.014255618
1040019430,29.89370023,21.16728893,24,2.919938235,3.001259894,2.504987126,5.544221668,18.54014229,0.875886484
1040020570,48.50729331,31.16693181,63,3.501413886,4.077851761,3.083540071,15.40965908,33.16230654,1.064022174
1040020580,37.29846069,30.49352711,30,3.200966636,3.767455372,2.886811278,6.575471708,24.55625568,0.805294041
1040022430,73.76807253,49.4146207,95,3.964405207,9.120756839,6.262645059,23.415425,52.68892108,1.066261773
