"","Assemblage","Order.q","SC","m","Method","qFD","s.e.","qFD.LCL","qFD.UCL"
"1","1040008480",0,0.7752,34.1998153468036,"Rarefaction",2.96286006777165,NA,NA,NA
"2","1040008480",0,0.982891094396153,344.038458897283,"Extrapolation",3.42920406037748,NA,NA,NA
"3","1040008480",1,0.7752,34.1998153468036,"Rarefaction",2.58014284653869,NA,NA,NA
"4","1040008480",1,0.982891094396153,344.038458897283,"Extrapolation",2.74315611546375,NA,NA,NA
"5","1040009450",0,0.7752,64.3204428816698,"Rarefaction",3.49028499146889,NA,NA,NA
"6","1040009450",0,0.982891094396153,580.217253920712,"Extrapolation",3.76904377763973,NA,NA,NA
"7","1040009450",1,0.7752,64.3204428816698,"Rarefaction",2.76178023002217,NA,NA,NA
"8","1040009450",1,0.982891094396153,580.217253920712,"Extrapolation",2.88435358051981,NA,NA,NA
"9","1040011660",0,0.7752,14.359501353952,"Rarefaction",2.63988584355461,NA,NA,NA
"10","1040011660",0,0.982891094396153,238.833587892604,"Extrapolation",3.28030513788342,NA,NA,NA
"11","1040011660",1,0.7752,14.359501353952,"Rarefaction",2.39678520414736,NA,NA,NA
"12","1040011660",1,0.982891094396153,238.833587892604,"Extrapolation",2.72866893723915,NA,NA,NA
"13","1040011670",0,0.7752,50.5475765339261,"Rarefaction",3.33303441938836,NA,NA,NA
"14","1040011670",0,0.982891094396153,356.201654098933,"Extrapolation",3.60755748415134,NA,NA,NA
"15","1040011670",1,0.7752,50.5475765339261,"Rarefaction",2.79658693172888,NA,NA,NA
"16","1040011670",1,0.982891094396153,356.201654098933,"Extrapolation",2.93759275697717,NA,NA,NA
"17","1040012680",0,0.7752,45.1350271366159,"Rarefaction",3.43927045342344,NA,NA,NA
"18","1040012680",0,0.982891094396153,416.928854353191,"Rarefaction",3.73000692551744,NA,NA,NA
"19","1040012680",1,0.7752,45.1350271366159,"Rarefaction",2.92406059079242,NA,NA,NA
"20","1040012680",1,0.982891094396153,416.928854353191,"Rarefaction",3.08521415496366,NA,NA,NA
"21","1040012690",0,0.7752,25.3992246200832,"Rarefaction",2.83199976959562,NA,NA,NA
"22","1040012690",0,0.982891094396153,217.970993174651,"Rarefaction",3.30821176338721,NA,NA,NA
"23","1040012690",1,0.7752,25.3992246200832,"Rarefaction",2.5383967258826,NA,NA,NA
"24","1040012690",1,0.982891094396153,217.970993174651,"Rarefaction",2.73294916277318,NA,NA,NA
"25","1040012810",0,0.7752,48.3767002767364,"Rarefaction",3.5917120108806,NA,NA,NA
"26","1040012810",0,0.982891094396153,365.824529884171,"Rarefaction",3.76900105596896,NA,NA,NA
"27","1040012810",1,0.7752,48.3767002767364,"Rarefaction",3.0742395051358,NA,NA,NA
"28","1040012810",1,0.982891094396153,365.824529884171,"Rarefaction",3.23639618936911,NA,NA,NA
"29","1040012820",0,0.7752,50.1142736623247,"Rarefaction",3.37964910185442,NA,NA,NA
"30","1040012820",0,0.982891094396153,378.879994242574,"Rarefaction",3.68064237233463,NA,NA,NA
