"","my","null.aic","ini.aic","opt.aic","Estimate","Std..Error","z.value","Pr...z..","opt.r2","I.statistic","I.p.value"
"(Intercept)","FDq0",2473.59392495126,2319.64678316276,2310.25605964919,6.6073,0.1536,43.0135,0,0.550410461518742,-0.343827914377894,0.634512146988581
"Nat_dis","FDq0",2473.59392495126,2319.64678316276,2310.25605964919,0.3349,0.1135,2.951,0.0032,0.550410461518742,-0.343827914377894,0.634512146988581
"LSR","FDq0",2473.59392495126,2319.64678316276,2310.25605964919,0.3299,0.1375,2.3989,0.0164,0.550410461518742,-0.343827914377894,0.634512146988581
"Riv_a","FDq0",2473.59392495126,2319.64678316276,2310.25605964919,-0.5048,0.2191,-2.3045,0.0212,0.550410461518742,-0.343827914377894,0.634512146988581
"Bio1","FDq0",2473.59392495126,2319.64678316276,2310.25605964919,-0.7588,0.1818,-4.1737,0,0.550410461518742,-0.343827914377894,0.634512146988581
"Bio2","FDq0",2473.59392495126,2319.64678316276,2310.25605964919,0.2933,0.1456,2.0137,0.044,0.550410461518742,-0.343827914377894,0.634512146988581
"Bio8","FDq0",2473.59392495126,2319.64678316276,2310.25605964919,-0.5441,0.1605,-3.3901,7e-04,0.550410461518742,-0.343827914377894,0.634512146988581
"Bio15","FDq0",2473.59392495126,2319.64678316276,2310.25605964919,-0.3649,0.147,-2.4832,0.013,0.550410461518742,-0.343827914377894,0.634512146988581
"For_ext","FDq0",2473.59392495126,2319.64678316276,2310.25605964919,0.5828,0.1249,4.667,0,0.550410461518742,-0.343827914377894,0.634512146988581
"Area","FDq0",2473.59392495126,2319.64678316276,2310.25605964919,1.0608,0.205,5.1752,0,0.550410461518742,-0.343827914377894,0.634512146988581
"GDP","FDq0",2473.59392495126,2319.64678316276,2310.25605964919,-0.2755,0.1036,-2.6588,0.0078,0.550410461518742,-0.343827914377894,0.634512146988581
"HDI","FDq0",2473.59392495126,2319.64678316276,2310.25605964919,0.6095,0.1604,3.7996,1e-04,0.550410461518742,-0.343827914377894,0.634512146988581
"HMG","FDq0",2473.59392495126,2319.64678316276,2310.25605964919,0.6918,0.1249,5.5404,0,0.550410461518742,-0.343827914377894,0.634512146988581
"Sam_eff","FDq0",2473.59392495126,2319.64678316276,2310.25605964919,0.3003,0.1066,2.8165,0.0049,0.550410461518742,-0.343827914377894,0.634512146988581
