"","my","null.aic","ini.aic","opt.aic","Estimate","Std..Error","z.value","Pr...z..","opt.r2","I.statistic","I.p.value"
"(Intercept)","FDq1",2309.57875351148,2182.83582163414,2171.77293824961,5.6372,0.1213,46.4719,0,0.416357029427256,-0.0957576920429278,0.538143490127297
"Nat_dis","FDq1",2309.57875351148,2182.83582163414,2171.77293824961,0.3484,0.1003,3.4732,5e-04,0.416357029427256,-0.0957576920429278,0.538143490127297
"LSR","FDq1",2309.57875351148,2182.83582163414,2171.77293824961,0.2903,0.1305,2.2255,0.026,0.416357029427256,-0.0957576920429278,0.538143490127297
"Riv_a","FDq1",2309.57875351148,2182.83582163414,2171.77293824961,-0.2976,0.1932,-1.5398,0.1236,0.416357029427256,-0.0957576920429278,0.538143490127297
"GTD","FDq1",2309.57875351148,2182.83582163414,2171.77293824961,0.3774,0.1317,2.8649,0.0042,0.416357029427256,-0.0957576920429278,0.538143490127297
"Bio1","FDq1",2309.57875351148,2182.83582163414,2171.77293824961,-0.4656,0.157,-2.9658,0.003,0.416357029427256,-0.0957576920429278,0.538143490127297
"Bio8","FDq1",2309.57875351148,2182.83582163414,2171.77293824961,-0.3266,0.1508,-2.1655,0.0303,0.416357029427256,-0.0957576920429278,0.538143490127297
"Str_gra","FDq1",2309.57875351148,2182.83582163414,2171.77293824961,-0.3249,0.1442,-2.2537,0.0242,0.416357029427256,-0.0957576920429278,0.538143490127297
"For_ext","FDq1",2309.57875351148,2182.83582163414,2171.77293824961,0.702,0.1084,6.476,0,0.416357029427256,-0.0957576920429278,0.538143490127297
"Area","FDq1",2309.57875351148,2182.83582163414,2171.77293824961,0.8743,0.1803,4.8498,0,0.416357029427256,-0.0957576920429278,0.538143490127297
"GDP","FDq1",2309.57875351148,2182.83582163414,2171.77293824961,-0.2502,0.0918,-2.7246,0.0064,0.416357029427256,-0.0957576920429278,0.538143490127297
"HDI","FDq1",2309.57875351148,2182.83582163414,2171.77293824961,0.4834,0.1275,3.7923,1e-04,0.416357029427256,-0.0957576920429278,0.538143490127297
"HMG","FDq1",2309.57875351148,2182.83582163414,2171.77293824961,0.5119,0.1049,4.8808,0,0.416357029427256,-0.0957576920429278,0.538143490127297
