,Assemblage,qFD
1,1040008480,2.487774939
2,1040009450,2.71400781
3,1040011660,2.513217661
4,1040011670,2.697084148
5,1040012680,2.910528882
6,1040012690,2.57041791
7,1040012810,3.049053989
8,1040012820,2.726095334
9,1040014500,2.247848061
10,1040014920,2.350601885
11,1040014930,2.669182453
12,1040015030,2.620427075
13,1040015860,2.570202849
14,1040018120,2.788400065
15,1040019430,2.292831896
16,1040020570,2.758837734
17,1040020580,2.563890186
18,1040022430,5.154735848
19,1040023310,2.44479185
20,1040024080,2.569257255
21,1040026800,2.347827634
22,1040028960,2.366286597
23,1040028970,2.931666682
24,1040029430,3.210157625
25,1040029700,2.694484399
26,1040029710,2.645168111
27,1040029810,3.621873045
28,1040034260,2.44395164
29,1040034270,2.030058102
30,1040034610,2.090923467
31,1040034900,2.241786895
32,1040035590,2.33165094
33,1040036860,2.919841221
34,1040036870,3.160590751
35,1040040050,2.288735386
36,1040040200,2.179068782
37,1040040240,2.456785957
38,1040040320,2.810762455
39,1040040340,2.000408999
40,1040040520,2.29149458
41,1040041020,2.243128348
42,1040601190,2.423754367
43,1040601200,2.488825124
44,1040837890,4.092096483
45,1040873640,2.629166645
46,1040909890,5.017889418
47,1041156960,2.654497622
48,1041174950,2.633346564
49,1041259940,2.430903377
50,1041259950,2.564353421
51,1041431480,2.398099009
52,1041431680,2.649001245
53,1041438780,2.59674754
54,1041438860,2.53608766
55,1041472390,2.534674351
56,1041472430,2.853497892
57,1041473880,2.804929241
58,1041473950,2.594875469
59,1041477980,2.818637826
60,1041478080,2.279966618
61,1041515680,2.654182377
62,1041515780,2.52964567
63,1041533130,2.394393458
64,1041548760,2.749647816
65,1041576090,2.798220781
66,1041576130,2.833363645
67,1041620200,2.412719065
68,1041620260,2.429679414
69,1041624310,2.405229833
70,1041629370,2.543288462
71,1041629430,2.434677089
72,2040000010,2.68336856
73,2040003550,4.004796439
74,2040003560,4.069636796
75,2040004130,2.833616903
76,2040004140,1.926393594
77,2040004280,2.049100425
78,2040004290,2.622422141
79,2040005120,2.922030171
80,2040005130,2.41249526
81,2040005690,2.454782315
82,2040006600,2.399526041
83,2040007930,4.070410632
84,2040007940,2.017423424
85,2040008490,3.027029786
86,2040008500,2.695056103
87,2040009230,4.159830283
88,2040012730,5.887680787
89,2040014550,5.446897373
90,2040016230,4.233296232
91,2040018240,4.14775
92,2040018360,4.176047747
93,2040018370,2.289522901
94,2040018460,2.505988252
95,2040018470,2.517481029
96,2040018840,4.071216762
97,2040018850,6.29894941
98,2040019150,2.93280112
99,2040019160,5.555595794
100,2040020320,4.49390457
101,2040021030,3.766318816
102,2040021040,4.799809472
103,2040022150,2.671758615
104,2040022160,3.034312964
105,2040023010,3.757892423
106,2040023020,3.317190145
107,2040024170,5.3315776
108,2040024180,2.089369719
109,2040024230,4.654565241
110,2040026060,6.139960428
111,2040026070,2.254259069
112,2040026550,6.890694695
113,2040026560,4.152052072
114,2040026920,2.700708941
115,2040026930,2.501177964
116,2040027320,2.692564529
117,2040027330,3.924926331
118,2040028310,2.869487134
119,2040028320,3.00869498
120,2040028660,2.889600481
121,2040028670,3.556494253
122,2040029940,6.987742181
123,2040029950,6.563236895
124,2040030060,6.233522294
125,2040030100,7.927469275
126,2040030110,8.524462266
127,2040031060,6.501646998
128,2040031070,7.77397921
129,2040031490,7.909912845
130,2040031500,6.135703637
131,2040033320,7.923900025
132,2040033330,7.653878329
133,2040033480,7.610905974
134,2040037990,6.882641392
135,2040039390,6.667312529
136,2040039400,5.937498897
137,2040039590,4.639383787
138,2040041120,7.530696888
139,2040041840,6.943023777
140,2040045150,3.090046386
141,2040046500,5.723672167
142,2040047500,4.269214582
143,2040048590,2.113301419
144,2040048790,4.046418043
145,2040054200,3.576805477
146,2040056770,2.966244918
147,2040059370,5.61152307
148,2040065840,2.466790726
149,2040065960,2.41418658
150,2040066030,2.246158851
151,2040067740,3.503562244
152,2040068680,5.169717424
153,2040068720,3.491807847
154,2040069150,3.966132454
155,2040069160,2.277243837
156,2040070050,2.392222623
157,2040070060,2.490669775
158,2040070510,3.956894693
159,2040070520,3.255427461
160,2040071700,2.377924036
161,2040072590,2.065343749
162,2040072920,2.241923807
163,2040072930,2.124942135
164,2040073580,1.852971661
165,2040075170,2.59057336
166,2040077470,2.373858179
167,2040077580,2.484045953
168,2040079320,2.368393316
169,2040081260,2.3684246
170,2040084130,2.393483354
171,2040085500,2.153523572
172,2040085590,2.391647227
173,2040085620,2.114085703
174,2040085630,2.115894328
175,2040085670,2.096986584
176,2040085690,2.236486985
177,2040085700,2.760781596
178,2040085710,2.058915224
179,2040085720,2.5212526
180,2040085730,2.137944253
181,2040085930,2.364225478
182,2040085960,2.621635434
183,2040085990,2.283195523
184,2040288980,2.328121875
185,2040289120,1.769420569
186,2040292580,2.175916357
187,2040292690,2.485921992
188,2040309560,1.981976037
189,2040309610,2.557123567
190,2040315940,3.191251894
191,2040363700,2.592398463
192,2040400100,3.037474485
193,2040416390,3.383024507
194,2040491970,3.049341625
195,2040539930,7.233800613
196,2040540100,6.530314955
197,2040543090,5.492540776
198,2040543160,5.506008571
199,2040548500,5.709264544
200,2040555780,5.237925622
201,2040785900,3.07806654
202,2040816320,3.0204097
203,2040816870,2.282884692
204,2040828790,2.427987159
205,3040024310,4.497913745
206,3040386960,4.510986073
207,3040481930,2.900870162
208,3040483880,7.244541458
209,3040496490,3.428584177
210,3040679750,5.31734218
211,3040679760,5.56114559
212,4040000890,3.104915694
213,4040003020,5.709063596
214,4040005050,5.205240912
215,4040005060,5.319608236
216,4040007410,7.196088901
217,4040009890,6.201744447
218,4040012290,2.506647939
219,4040012770,3.050839721
220,4040012780,2.305809769
221,4040012990,4.667329079
222,4040013000,1.598389727
223,4040015000,2.91279419
224,4040015010,2.892724072
225,4040015090,2.029362481
226,4040017030,2.590664479
227,4040018350,2.659823321
228,4040023060,4.0791256
229,4040023810,3.602706828
230,4040025460,2.492637241
231,4040027100,2.427108459
232,4040027780,2.740257427
233,4040027790,2.137928086
234,4040027940,2.486812753
235,4040027950,2.193350151
236,4040028760,2.395361092
237,4040029530,2.555408101
238,4040031830,2.648604522
239,4040037060,1.945292691
240,4040039450,2.732178858
241,4040045780,5.524080297
242,4040046100,2.473725367
243,4040046370,2.772312284
244,4040047500,2.349558905
245,4040048900,2.50066053
246,4040050240,2.363770513
247,4040050300,2.071371496
248,4040095270,7.614379276
249,4040169400,2.88712067
250,4040223160,2.020726036
251,4040234270,1.614767034
252,4040298550,2.352418081
253,4040484760,2.30950043
254,4040545530,2.333009039
255,4040627620,3.901997045
256,4040748300,6.740794628
257,4040773260,5.071886766
258,4040783120,4.841239403
259,4040839030,2.626515278
260,4040960200,2.53523995
261,4040960480,2.334996151
262,4040975160,2.617571594
263,4041043580,6.169682746
264,4041108500,2.473363985
265,4041108580,2.757246222
266,4041128330,3.077079148
