var,bioindex,null.aic,ini.aic,opt.aic,Estimate,Std..Error,z.value,Pr...z..,opt.r2,I.statistic,I.p.value
Nat_dis,TDq0,4898.490384,4709.697321,4702.6329,4.1267,1.1175,3.6927,2.00E-04,0.471759874,-0.070701884,0.528182489
GTD,TDq0,4898.490384,4709.697321,4702.6329,2.5854,1.2709,2.0342,0.0419,0.471759874,-0.070701884,0.528182489
Bio1,TDq0,4898.490384,4709.697321,4702.6329,-3.7449,1.9904,-1.8815,0.0599,0.471759874,-0.070701884,0.528182489
Bio2,TDq0,4898.490384,4709.697321,4702.6329,5.441,1.5541,3.501,5.00E-04,0.471759874,-0.070701884,0.528182489
Bio8,TDq0,4898.490384,4709.697321,4702.6329,-2.7007,1.7564,-1.5376,0.1241,0.471759874,-0.070701884,0.528182489
Bio12,TDq0,4898.490384,4709.697321,4702.6329,6.9585,1.7165,4.0539,1.00E-04,0.471759874,-0.070701884,0.528182489
Bio15,TDq0,4898.490384,4709.697321,4702.6329,-4.4454,1.476,-3.0118,0.0026,0.471759874,-0.070701884,0.528182489
For_ext,TDq0,4898.490384,4709.697321,4702.6329,7.5762,1.3582,5.578,0,0.471759874,-0.070701884,0.528182489
Area,TDq0,4898.490384,4709.697321,4702.6329,9.9952,1.1243,8.8899,0,0.471759874,-0.070701884,0.528182489
GDP,TDq0,4898.490384,4709.697321,4702.6329,-2.4245,1.0899,-2.2245,0.0261,0.471759874,-0.070701884,0.528182489
HDI,TDq0,4898.490384,4709.697321,4702.6329,7.2504,1.5457,4.6908,0,0.471759874,-0.070701884,0.528182489
HMG,TDq0,4898.490384,4709.697321,4702.6329,7.7807,1.251,6.2198,0,0.471759874,-0.070701884,0.528182489
Sam_eff,TDq0,4898.490384,4709.697321,4702.6329,2.4628,1.1037,2.2315,0.0257,0.471759874,-0.070701884,0.528182489
Nat_dis,TDq1,4216.468276,4073.33981,4062.174279,3.0116,0.5971,5.0436,0,0.408038371,-0.000819716,0.500327019
LSR,TDq1,4216.468276,4073.33981,4062.174279,3.6224,0.8404,4.3102,0,0.408038371,-0.000819716,0.500327019
IE_lmx,TDq1,4216.468276,4073.33981,4062.174279,-1.0556,0.707,-1.493,0.1354,0.408038371,-0.000819716,0.500327019
GTD,TDq1,4216.468276,4073.33981,4062.174279,2.6107,0.827,3.1569,0.0016,0.408038371,-0.000819716,0.500327019
Bio1,TDq1,4216.468276,4073.33981,4062.174279,-2.356,0.7718,-3.0527,0.0023,0.408038371,-0.000819716,0.500327019
Str_gra,TDq1,4216.468276,4073.33981,4062.174279,-2.7525,0.9248,-2.9765,0.0029,0.408038371,-0.000819716,0.500327019
For_ext,TDq1,4216.468276,4073.33981,4062.174279,4.4096,0.6807,6.4778,0,0.408038371,-0.000819716,0.500327019
Area,TDq1,4216.468276,4073.33981,4062.174279,4.2274,0.6,7.046,0,0.408038371,-0.000819716,0.500327019
GDP,TDq1,4216.468276,4073.33981,4062.174279,-1.3826,0.6054,-2.2839,0.0224,0.408038371,-0.000819716,0.500327019
HDI,TDq1,4216.468276,4073.33981,4062.174279,3.1781,0.7768,4.0911,0,0.408038371,-0.000819716,0.500327019
HMG,TDq1,4216.468276,4073.33981,4062.174279,3.4403,0.6699,5.1353,0,0.408038371,-0.000819716,0.500327019
Nat_dis,FDq0,2473.593925,2319.646783,2310.25606,0.3349,0.1135,2.951,0.0032,0.550410462,-0.343827914,0.634512147
LSR,FDq0,2473.593925,2319.646783,2310.25606,0.3299,0.1375,2.3989,0.0164,0.550410462,-0.343827914,0.634512147
Riv_a,FDq0,2473.593925,2319.646783,2310.25606,-0.5048,0.2191,-2.3045,0.0212,0.550410462,-0.343827914,0.634512147
Bio1,FDq0,2473.593925,2319.646783,2310.25606,-0.7588,0.1818,-4.1737,0,0.550410462,-0.343827914,0.634512147
Bio2,FDq0,2473.593925,2319.646783,2310.25606,0.2933,0.1456,2.0137,0.044,0.550410462,-0.343827914,0.634512147
Bio8,FDq0,2473.593925,2319.646783,2310.25606,-0.5441,0.1605,-3.3901,7.00E-04,0.550410462,-0.343827914,0.634512147
Bio15,FDq0,2473.593925,2319.646783,2310.25606,-0.3649,0.147,-2.4832,0.013,0.550410462,-0.343827914,0.634512147
For_ext,FDq0,2473.593925,2319.646783,2310.25606,0.5828,0.1249,4.667,0,0.550410462,-0.343827914,0.634512147
Area,FDq0,2473.593925,2319.646783,2310.25606,1.0608,0.205,5.1752,0,0.550410462,-0.343827914,0.634512147
GDP,FDq0,2473.593925,2319.646783,2310.25606,-0.2755,0.1036,-2.6588,0.0078,0.550410462,-0.343827914,0.634512147
HDI,FDq0,2473.593925,2319.646783,2310.25606,0.6095,0.1604,3.7996,1.00E-04,0.550410462,-0.343827914,0.634512147
HMG,FDq0,2473.593925,2319.646783,2310.25606,0.6918,0.1249,5.5404,0,0.550410462,-0.343827914,0.634512147
