"","my","null.aic","ini.aic","opt.aic","Estimate","Std..Error","z.value","Pr...z..","opt.r2","I.statistic","I.p.value"
"(Intercept)","FDq1",1938.29566061549,1834.25642223841,1822.29537313808,4.0288,0.0929,43.3572,0,0.395680460232867,-0.281606499431576,0.610877371998153
"Nat_dis","FDq1",1938.29566061549,1834.25642223841,1822.29537313808,0.0979,0.0667,1.4675,0.1422,0.395680460232867,-0.281606499431576,0.610877371998153
"GTD","FDq1",1938.29566061549,1834.25642223841,1822.29537313808,0.113,0.0742,1.524,0.1275,0.395680460232867,-0.281606499431576,0.610877371998153
"Bio1","FDq1",1938.29566061549,1834.25642223841,1822.29537313808,-0.6071,0.109,-5.5709,0,0.395680460232867,-0.281606499431576,0.610877371998153
"Bio8","FDq1",1938.29566061549,1834.25642223841,1822.29537313808,-0.1744,0.1063,-1.6415,0.1007,0.395680460232867,-0.281606499431576,0.610877371998153
"For_ext","FDq1",1938.29566061549,1834.25642223841,1822.29537313808,0.3415,0.0721,4.7346,0,0.395680460232867,-0.281606499431576,0.610877371998153
"Area","FDq1",1938.29566061549,1834.25642223841,1822.29537313808,0.2535,0.0668,3.7938,1e-04,0.395680460232867,-0.281606499431576,0.610877371998153
"GDP","FDq1",1938.29566061549,1834.25642223841,1822.29537313808,-0.1493,0.0649,-2.3008,0.0214,0.395680460232867,-0.281606499431576,0.610877371998153
"HDI","FDq1",1938.29566061549,1834.25642223841,1822.29537313808,0.1879,0.0931,2.0189,0.0435,0.395680460232867,-0.281606499431576,0.610877371998153
"HMG","FDq1",1938.29566061549,1834.25642223841,1822.29537313808,0.1916,0.0756,2.533,0.0113,0.395680460232867,-0.281606499431576,0.610877371998153
