,my,null.aic,ini.aic,opt.aic,Estimate,Std..Error,z.value,Pr...z..,opt.r2,I.statistic,I.p.value
(Intercept),TDq0,4898.490384,4709.697321,4702.6329,54.6732,1.3027,41.9699,0,0.471759874,-0.070701884,0.528182489
Nat_dis,TDq0,4898.490384,4709.697321,4702.6329,4.1267,1.1175,3.6927,2.00E-04,0.471759874,-0.070701884,0.528182489
GTD,TDq0,4898.490384,4709.697321,4702.6329,2.5854,1.2709,2.0342,0.0419,0.471759874,-0.070701884,0.528182489
Bio1,TDq0,4898.490384,4709.697321,4702.6329,-3.7449,1.9904,-1.8815,0.0599,0.471759874,-0.070701884,0.528182489
Bio2,TDq0,4898.490384,4709.697321,4702.6329,5.441,1.5541,3.501,5.00E-04,0.471759874,-0.070701884,0.528182489
Bio8,TDq0,4898.490384,4709.697321,4702.6329,-2.7007,1.7564,-1.5376,0.1241,0.471759874,-0.070701884,0.528182489
Bio12,TDq0,4898.490384,4709.697321,4702.6329,6.9585,1.7165,4.0539,1.00E-04,0.471759874,-0.070701884,0.528182489
Bio15,TDq0,4898.490384,4709.697321,4702.6329,-4.4454,1.476,-3.0118,0.0026,0.471759874,-0.070701884,0.528182489
For_ext,TDq0,4898.490384,4709.697321,4702.6329,7.5762,1.3582,5.578,0,0.471759874,-0.070701884,0.528182489
Area,TDq0,4898.490384,4709.697321,4702.6329,9.9952,1.1243,8.8899,0,0.471759874,-0.070701884,0.528182489
GDP,TDq0,4898.490384,4709.697321,4702.6329,-2.4245,1.0899,-2.2245,0.0261,0.471759874,-0.070701884,0.528182489
HDI,TDq0,4898.490384,4709.697321,4702.6329,7.2504,1.5457,4.6908,0,0.471759874,-0.070701884,0.528182489
HMG,TDq0,4898.490384,4709.697321,4702.6329,7.7807,1.251,6.2198,0,0.471759874,-0.070701884,0.528182489
Sam_eff,TDq0,4898.490384,4709.697321,4702.6329,2.4628,1.1037,2.2315,0.0257,0.471759874,-0.070701884,0.528182489
