var,bioindex,null.aic,ini.aic,opt.aic,Estimate,Std..Error,z.value,Pr...z..,opt.r2,I.statistic,I.p.value
Nat_dis,TDq0,5178.153165,4953.355913,4945.840367,4.2467,1.4889,2.8522,0.0043,0.532808865,-0.525974708,0.70054711
LSR,TDq0,5178.153165,4953.355913,4945.840367,3.8464,1.8869,2.0385,0.0415,0.532808865,-0.525974708,0.70054711
Riv_a,TDq0,5178.153165,4953.355913,4945.840367,-10.7926,2.8656,-3.7663,2.00E-04,0.532808865,-0.525974708,0.70054711
GTD,TDq0,5178.153165,4953.355913,4945.840367,4.851,1.9084,2.5419,0.011,0.532808865,-0.525974708,0.70054711
Bio15,TDq0,5178.153165,4953.355913,4945.840367,-4.7538,1.7825,-2.6669,0.0077,0.532808865,-0.525974708,0.70054711
Elev_range,TDq0,5178.153165,4953.355913,4945.840367,3.4407,1.8583,1.8515,0.0641,0.532808865,-0.525974708,0.70054711
Str_gra,TDq0,5178.153165,4953.355913,4945.840367,-4.3191,2.1461,-2.0126,0.0442,0.532808865,-0.525974708,0.70054711
For_ext,TDq0,5178.153165,4953.355913,4945.840367,10.7253,1.649,6.5041,0,0.532808865,-0.525974708,0.70054711
Area,TDq0,5178.153165,4953.355913,4945.840367,23.2146,2.7353,8.487,0,0.532808865,-0.525974708,0.70054711
GDP,TDq0,5178.153165,4953.355913,4945.840367,-2.9797,1.3644,-2.1839,0.029,0.532808865,-0.525974708,0.70054711
HDI,TDq0,5178.153165,4953.355913,4945.840367,14.0974,1.9999,7.0489,0,0.532808865,-0.525974708,0.70054711
HMG,TDq0,5178.153165,4953.355913,4945.840367,13.0636,1.621,8.0588,0,0.532808865,-0.525974708,0.70054711
Sam_eff,TDq0,5178.153165,4953.355913,4945.840367,7.4251,1.3923,5.3331,0,0.532808865,-0.525974708,0.70054711
Nat_dis,TDq1,4236.638122,4083.561348,4072.313334,2.8156,0.6454,4.3628,0,0.4212814,-0.014069531,0.505612746
LSR,TDq1,4236.638122,4083.561348,4072.313334,2.0956,0.8086,2.5915,0.0096,0.4212814,-0.014069531,0.505612746
Riv_a,TDq1,4236.638122,4083.561348,4072.313334,-1.7656,1.2423,-1.4212,0.1553,0.4212814,-0.014069531,0.505612746
GTD,TDq1,4236.638122,4083.561348,4072.313334,2.4903,0.8047,3.0946,0.002,0.4212814,-0.014069531,0.505612746
Bio8,TDq1,4236.638122,4083.561348,4072.313334,-2.2621,0.7562,-2.9915,0.0028,0.4212814,-0.014069531,0.505612746
Str_gra,TDq1,4236.638122,4083.561348,4072.313334,-2.3516,0.9074,-2.5916,0.0096,0.4212814,-0.014069531,0.505612746
For_ext,TDq1,4236.638122,4083.561348,4072.313334,5.3381,0.6826,7.8198,0,0.4212814,-0.014069531,0.505612746
Area,TDq1,4236.638122,4083.561348,4072.313334,6.4432,1.156,5.5739,0,0.4212814,-0.014069531,0.505612746
GDP,TDq1,4236.638122,4083.561348,4072.313334,-1.5909,0.5906,-2.6935,0.0071,0.4212814,-0.014069531,0.505612746
HDI,TDq1,4236.638122,4083.561348,4072.313334,4.0578,0.7698,5.271,0,0.4212814,-0.014069531,0.505612746
HMG,TDq1,4236.638122,4083.561348,4072.313334,3.7959,0.665,5.7081,0,0.4212814,-0.014069531,0.505612746
Nat_dis,TDq2,3854.473612,3733.457754,3719.0773,2.2113,0.4268,5.1807,0,0.357925589,0.044063007,0.48242709
LSR,TDq2,3854.473612,3733.457754,3719.0773,1.0841,0.5591,1.9391,0.0525,0.357925589,0.044063007,0.48242709
GTD,TDq2,3854.473612,3733.457754,3719.0773,1.415,0.5703,2.4811,0.0131,0.357925589,0.044063007,0.48242709
Bio8,TDq2,3854.473612,3733.457754,3719.0773,-1.5152,0.5306,-2.8554,0.0043,0.357925589,0.044063007,0.48242709
Str_gra,TDq2,3854.473612,3733.457754,3719.0773,-1.3805,0.6454,-2.1391,0.0324,0.357925589,0.044063007,0.48242709
