,Assemblage,qTD,Taxonomic Observed,Proportion
368,6040709820,55.3454204,21.89940141,0.395685881
267,4041144860,59.93211707,29.79617445,0.497165392
420,7040043100,49.69572245,25.62904243,0.515719285
242,4040046100,19.10678527,10.10976656,0.52911918
331,6040013420,32.12857043,17.3992184,0.541549723
365,6040345000,27.5353148,14.9546088,0.543106513
208,3040483880,54.13485105,30.19485483,0.557771089
187,2040292690,23.85348179,14.13609701,0.592621955
367,6040527680,18.83084396,11.20553054,0.595062578
399,7040019200,22.15583269,13.45092318,0.607105288
323,6040005190,29.41910589,17.87519192,0.607604867
273,5040017040,19.22768087,11.77559276,0.612429176
220,4040012780,26.1906536,16.11564348,0.615320401
229,4040023810,31.22840909,19.31260547,0.618430654
400,7040020100,50.09492877,31.13488185,0.621517639
48,1041174950,28.61933275,17.83992899,0.623352373
151,2040067740,31.80195832,19.89406575,0.625561029
139,2040041840,27.05347749,17.00123394,0.628430631
266,4041128330,50.22877789,32.04359293,0.637952868
443,7040050650,32.44932486,20.78306744,0.640477653
356,6040102330,33.80116207,21.68061105,0.641416144
466,7040282720,60.97641544,39.79738526,0.652668494
38,1040040320,20.12351528,13.25296367,0.658580943
488,7040607990,57.29160421,38.05796857,0.664285266
212,4040000890,34.39121643,23.28189257,0.676972058
228,4040023060,43.86646053,30.42497558,0.69358173
372,6040814830,55.85510684,38.77029549,0.694122663
374,6040870380,16.66883566,11.63159121,0.697804661
41,1040041020,20.44623157,14.38247922,0.703429342
148,2040065840,14.8447029,10.46885472,0.705224941
342,6040019090,11.20070561,7.962184417,0.710864538
354,6040084750,34.50107665,24.77213683,0.718010544
509,8040183760,15.67088463,11.37759912,0.726034259
180,2040085730,15.06084069,10.96491254,0.728041201
439,7040049280,19.77579308,14.41333642,0.72883734
259,4040839030,24.89170296,18.47023775,0.742023869
26,1040029710,12.06572907,9.03100077,0.748483637
347,6040026990,7.612421204,5.710590413,0.750167425
241,4040045780,28.49493502,21.48741082,0.754078253
506,8040009560,26.49652546,20.0719315,0.757530701
238,4040031830,20.89301825,15.8297024,0.757655127
502,8040002270,21.63503847,16.42405087,0.759141283
40,1040040520,17.56595079,13.40067273,0.762877734
320,6040000010,43.60469429,33.5492588,0.769395574
269,5040000010,47.68137539,36.9236976,0.774384071
503,8040007180,8.979240632,6.96985129,0.776218344
467,7040282770,41.68909714,32.37234413,0.776518235
337,6040015950,21.965605,17.11305265,0.779084057
176,2040085690,16.76428471,13.07692928,0.780046958
358,6040239820,29.09406514,22.75545562,0.782133934
152,2040068680,30.75271675,24.10605,0.783867331
239,4040037060,13.19862193,10.36763901,0.785509204
369,6040752460,19.69090953,15.59646999,0.792064479
224,4040015010,52.39328456,41.64962674,0.794942083
435,7040048310,19.13954566,15.2258809,0.795519453
307,5040076890,15.51824494,12.35833991,0.796374845
512,8040307300,60.0732501,47.88585383,0.797124407
233,4040027790,13.18920292,10.53682537,0.798897813
17,1040020580,30.49352711,24.55625568,0.805294041
283,5040056740,18.91569529,15.25005901,0.806211919
332,6040013430,36.28755001,29.29735105,0.807366467
2,1040009450,37.94969751,30.71223657,0.809288047
401,7040021740,41.32566553,33.60155902,0.813091782
80,2040005130,20.83112038,17.04524625,0.818258737
316,5040533380,13.02945816,10.66289367,0.818368158
373,6040870370,28.11843895,23.11429444,0.822033345
222,4040013000,9.308725024,7.6541086,0.822251015
277,5040038940,12.53959505,10.31084975,0.822263375
294,5040065600,16.31311285,13.44388323,0.824115137
249,4040169400,18.66780956,15.47596014,0.829018535
68,1041620260,12.60222103,10.45822248,0.829871374
150,2040066030,16.21212989,13.45633699,0.830016603
219,4040012770,29.64267248,24.72646286,0.834150932
325,6040005500,56.23140715,46.98752717,0.835610018
252,4040298550,16.94255784,14.18485368,0.837232124
507,8040141480,24.10150299,20.20355567,0.838269534
162,2040072920,14.24911351,11.95981697,0.839337617
