"","Assemblage","Taxonomic Diversity","Taxonomic Observed","Taxonomic Estimator","s.e.","LCL","UCL"
"1","1040008480","Species richness",33,37.485342019544,NA,NA,NA
"2","1040008480","Shannon diversity",19.461849398621,20.7606903687147,NA,NA,NA
"3","1040008480","Simpson diversity",14.090148004186,14.7198370416797,NA,NA,NA
"4","1040009450","Species richness",44,66.9832512315271,NA,NA,NA
"5","1040009450","Shannon diversity",30.7122365695762,39.4034549805922,NA,NA,NA
"6","1040009450","Simpson diversity",23.2834994462901,27.5461741424802,NA,NA,NA
"7","1040011660","Species richness",13,20.8787878787879,NA,NA,NA
"8","1040011660","Shannon diversity",9.19777704696107,10.7254607827618,NA,NA,NA
"9","1040011660","Simpson diversity",7.7508896797153,8.6491935483871,NA,NA,NA
"10","1040011670","Species richness",38,44.7142857142857,NA,NA,NA
"11","1040011670","Shannon diversity",24.8092282359069,28.1983155024141,NA,NA,NA
"12","1040011670","Simpson diversity",17.6574394463668,19.3740458015267,NA,NA,NA
"13","1040012680","Species richness",48,50.9981458590853,NA,NA,NA
"14","1040012680","Shannon diversity",25.9255727656941,26.3432090964954,NA,NA,NA
"15","1040012680","Simpson diversity",17.5890834329943,17.7714033419372,NA,NA,NA
"16","1040012690","Species richness",26,26.3319783197832,NA,NA,NA
"17","1040012690","Shannon diversity",14.19885132413,14.996746842951,NA,NA,NA
"18","1040012690","Simpson diversity",9.96312150148173,10.3414550446122,NA,NA,NA
"19","1040012810","Species richness",44,45.1229910714286,NA,NA,NA
"20","1040012810","Shannon diversity",28.0214187966092,29.204381605162,NA,NA,NA
"21","1040012810","Simpson diversity",20.5855323618222,21.332969878697,NA,NA,NA
"22","1040012820","Species richness",54,54.9998227578873,NA,NA,NA
"23","1040012820","Shannon diversity",29.5778945204831,29.723225642741,NA,NA,NA
"24","1040012820","Simpson diversity",21.3866617576316,21.464233832624,NA,NA,NA
"25","1040014500","Species richness",28,28.9990521327014,NA,NA,NA
"26","1040014500","Shannon diversity",16.3092685613236,16.5368455035758,NA,NA,NA
"27","1040014500","Simpson diversity",13.0195112821533,13.1696946727622,NA,NA,NA
"28","1040014920","Species richness",19,23.1237113402062,NA,NA,NA
"29","1040014920","Shannon diversity",13.8943165686364,15.7660510739884,NA,NA,NA
"30","1040014920","Simpson diversity",11.4884004884005,12.8975069252078,NA,NA,NA
"31","1040014930","Species richness",35,66.9316239316239,NA,NA,NA
"32","1040014930","Shannon diversity",19.9886560234764,21.2497672550325,NA,NA,NA
"33","1040014930","Simpson diversity",15.0160427807487,15.4806629834254,NA,NA,NA
"34","1040015030","Species richness",40,40.3329952670723,NA,NA,NA
"35","1040015030","Shannon diversity",15.9198347692843,16.2546834395156,NA,NA,NA
"36","1040015030","Simpson diversity",10.4131873781624,10.5136615571144,NA,NA,NA
"37","1040015860","Species richness",27,27,NA,NA,NA
"38","1040015860","Shannon diversity",15.3154390919414,15.4256214633931,NA,NA,NA
"39","1040015860","Simpson diversity",11.7711394035262,11.8407182507256,NA,NA,NA
"40","1040018120","Species richness",27,28.4924242424242,NA,NA,NA
"41","1040018120","Shannon diversity",20.0902235219187,21.6395192665779,NA,NA,NA
"42","1040018120","Simpson diversity",16.4033472803347,17.794708029197,NA,NA,NA
"43","1040019430","Species richness",24,32.9072164948454,NA,NA,NA
"44","1040019430","Shannon diversity",18.5401422855571,22.0872192878315,NA,NA,NA
"45","1040019430","Simpson diversity",15.4499178981938,18.1875,NA,NA,NA
"46","1040020570","Species richness",63,63.5622961956522,NA,NA,NA
"47","1040020570","Shannon diversity",33.1623065374307,33.5535118180834,NA,NA,NA
"48","1040020570","Simpson diversity",25.0491604900923,25.2694245153411,NA,NA,NA
"49","1040020580","Species richness",30,38.527619047619,NA,NA,NA
"50","1040020580","Shannon diversity",24.556255677981,32.667338043337,NA,NA,NA
"51","1040020580","Simpson diversity",20.7564575645756,28.3163265306123,NA,NA,NA
"52","1040022430","Species richness",95,105.559344188826,NA,NA,NA
"53","1040022430","Shannon diversity",52.6889210756601,53.5686385201206,NA,NA,NA
"54","1040022430","Simpson diversity",40.6030025262685,41.0893327560777,NA,NA,NA
"55","1040023310","Species richness",41,43.5158155487805,NA,NA,NA
"56","1040023310","Shannon diversity",26.7751205994739,30.9246367863927,NA,NA,NA
"57","1040023310","Simpson diversity",18.4219178082192,20.6265432098765,NA,NA,NA
"58","1040024080","Species richness",67,69.2487758433079,NA,NA,NA
"59","1040024080","Shannon diversity",36.5209622611592,37.2401676393188,NA,NA,NA
"60","1040024080","Simpson diversity",25.5158235018656,25.8609528186274,NA,NA,NA
"61","1040026800","Species richness",21,23.6436781609195,NA,NA,NA
"62","1040026800","Shannon diversity",14.6437657468139,16.3004186861715,NA,NA,NA
"63","1040026800","Simpson diversity",11.3075630252101,12.4208566108007,NA,NA,NA
"64","1040028960","Species richness",17,20.552,NA,NA,NA
"65","1040028960","Shannon diversity",10.2022204529912,11.8455913614083,NA,NA,NA
"66","1040028960","Simpson diversity",7.3146944083225,7.9971181556196,NA,NA,NA
"67","1040028970","Species richness",44,68.950884086444,NA,NA,NA
"68","1040028970","Shannon diversity",25.0502906840713,26.7371735375271,NA,NA,NA
"69","1040028970","Simpson diversity",18.8408842993237,19.5266576045915,NA,NA,NA
"70","1040029430","Species richness",34,39.7502191060473,NA,NA,NA
"71","1040029430","Shannon diversity",22.090718093333,25.2328784751241,NA,NA,NA
"72","1040029430","Simpson diversity",16.0926711084191,17.7459677419355,NA,NA,NA
"73","1040029700","Species richness",28,32.5274725274725,NA,NA,NA
"74","1040029700","Shannon diversity",21.1853637962177,25.1340852888345,NA,NA,NA
"75","1040029700","Simpson diversity",17.5584415584416,20.921875,NA,NA,NA
"76","1040029710","Species richness",11,14.9855072463768,NA,NA,NA
"77","1040029710","Shannon diversity",9.03100076977678,12.8663408720517,NA,NA,NA
"78","1040029710","Simpson diversity",7.45070422535211,10.5416666666667,NA,NA,NA
"79","1040029810","Species richness",72,95.1104895104895,NA,NA,NA
"80","1040029810","Shannon diversity",33.9813549267492,36.4666506897099,NA,NA,NA
"81","1040029810","Simpson diversity",22.0764779548301,22.747972551466,NA,NA,NA
"82","1040034260","Species richness",13,13,NA,NA,NA
"83","1040034260","Shannon diversity",9.00052224729763,9.14324737254049,NA,NA,NA
"84","1040034260","Simpson diversity",7.65898502079054,7.79202861522741,NA,NA,NA
"85","1040034270","Species richness",10,14.4347826086957,NA,NA,NA
"86","1040034270","Shannon diversity",6.85322544813088,7.60131128957765,NA,NA,NA
"87","1040034270","Simpson diversity",5.88504326328801,6.34054054054056,NA,NA,NA
"88","1040034610","Species richness",14,14.3994542974079,NA,NA,NA
"89","1040034610","Shannon diversity",6.08746493306554,6.14781720557936,NA,NA,NA
"90","1040034610","Simpson diversity",5.36200512958694,5.39414898964511,NA,NA,NA
"91","1040034900","Species richness",13,13,NA,NA,NA
"92","1040034900","Shannon diversity",10.4602845959749,10.5518516441718,NA,NA,NA
"93","1040034900","Simpson diversity",9.35328701229289,9.46641386782228,NA,NA,NA
"94","1040035590","Species richness",12,14.5945945945946,NA,NA,NA
"95","1040035590","Shannon diversity",9.41864318603647,11.6219453671832,NA,NA,NA
"96","1040035590","Simpson diversity",8.00584795321637,9.94029850746267,NA,NA,NA
"97","1040036860","Species richness",13,15.6214689265537,NA,NA,NA
"98","1040036860","Shannon diversity",8.07237633214423,9.29043861603478,NA,NA,NA
"99","1040036860","Simpson diversity",5.67862969004894,6.17689530685922,NA,NA,NA
"100","1040036870","Species richness",50,86.051724137931,NA,NA,NA
"101","1040036870","Shannon diversity",18.9927507027052,20.7068529448528,NA,NA,NA
"102","1040036870","Simpson diversity",10.4442868806669,10.6486961102819,NA,NA,NA
"103","1040040050","Species richness",13,20.864406779661,NA,NA,NA
"104","1040040050","Shannon diversity",9.77245333170157,11.6036099896195,NA,NA,NA
"105","1040040050","Simpson diversity",8.22931442080378,9.40109890109893,NA,NA,NA
"106","1040040200","Species richness",14,17.92,NA,NA,NA
"107","1040040200","Shannon diversity",10.9692473163475,13.2368060687968,NA,NA,NA
"108","1040040200","Simpson diversity",9.19117647058824,11.0360360360361,NA,NA,NA
"109","1040040240","Species richness",23,23.1661290322581,NA,NA,NA
