"","my","null.aic","ini.aic","opt.aic","Estimate","Std..Error","z.value","Pr...z..","opt.r2","I.statistic","I.p.value"
"(Intercept)","TDq0",5178.15316463063,4953.35591311218,4945.84036722256,57.7321,1.9794,29.1664,0,0.532808865181947,-0.5259747081228,0.700547110039839
"Nat_dis","TDq0",5178.15316463063,4953.35591311218,4945.84036722256,4.2467,1.4889,2.8522,0.0043,0.532808865181947,-0.5259747081228,0.700547110039839
"LSR","TDq0",5178.15316463063,4953.35591311218,4945.84036722256,3.8464,1.8869,2.0385,0.0415,0.532808865181947,-0.5259747081228,0.700547110039839
"Riv_a","TDq0",5178.15316463063,4953.35591311218,4945.84036722256,-10.7926,2.8656,-3.7663,2e-04,0.532808865181947,-0.5259747081228,0.700547110039839
"GTD","TDq0",5178.15316463063,4953.35591311218,4945.84036722256,4.851,1.9084,2.5419,0.011,0.532808865181947,-0.5259747081228,0.700547110039839
"Bio15","TDq0",5178.15316463063,4953.35591311218,4945.84036722256,-4.7538,1.7825,-2.6669,0.0077,0.532808865181947,-0.5259747081228,0.700547110039839
"Elev_range","TDq0",5178.15316463063,4953.35591311218,4945.84036722256,3.4407,1.8583,1.8515,0.0641,0.532808865181947,-0.5259747081228,0.700547110039839
"Str_gra","TDq0",5178.15316463063,4953.35591311218,4945.84036722256,-4.3191,2.1461,-2.0126,0.0442,0.532808865181947,-0.5259747081228,0.700547110039839
"For_ext","TDq0",5178.15316463063,4953.35591311218,4945.84036722256,10.7253,1.649,6.5041,0,0.532808865181947,-0.5259747081228,0.700547110039839
"Area","TDq0",5178.15316463063,4953.35591311218,4945.84036722256,23.2146,2.7353,8.487,0,0.532808865181947,-0.5259747081228,0.700547110039839
"GDP","TDq0",5178.15316463063,4953.35591311218,4945.84036722256,-2.9797,1.3644,-2.1839,0.029,0.532808865181947,-0.5259747081228,0.700547110039839
"HDI","TDq0",5178.15316463063,4953.35591311218,4945.84036722256,14.0974,1.9999,7.0489,0,0.532808865181947,-0.5259747081228,0.700547110039839
"HMG","TDq0",5178.15316463063,4953.35591311218,4945.84036722256,13.0636,1.621,8.0588,0,0.532808865181947,-0.5259747081228,0.700547110039839
"Sam_eff","TDq0",5178.15316463063,4953.35591311218,4945.84036722256,7.4251,1.3923,5.3331,0,0.532808865181947,-0.5259747081228,0.700547110039839
