"","my","null.aic","ini.aic","opt.aic","Estimate","Std..Error","z.value","Pr...z..","opt.r2","I.statistic","I.p.value"
"(Intercept)","TDq1",4216.46827647561,4073.3398104956,4062.17427904919,30.0328,0.7147,42.0218,0,0.40803837113017,-0.000819715833932302,0.500327019267448
"Nat_dis","TDq1",4216.46827647561,4073.3398104956,4062.17427904919,3.0116,0.5971,5.0436,0,0.40803837113017,-0.000819715833932302,0.500327019267448
"LSR","TDq1",4216.46827647561,4073.3398104956,4062.17427904919,3.6224,0.8404,4.3102,0,0.40803837113017,-0.000819715833932302,0.500327019267448
"IE_lmx","TDq1",4216.46827647561,4073.3398104956,4062.17427904919,-1.0556,0.707,-1.493,0.1354,0.40803837113017,-0.000819715833932302,0.500327019267448
"GTD","TDq1",4216.46827647561,4073.3398104956,4062.17427904919,2.6107,0.827,3.1569,0.0016,0.40803837113017,-0.000819715833932302,0.500327019267448
"Bio1","TDq1",4216.46827647561,4073.3398104956,4062.17427904919,-2.356,0.7718,-3.0527,0.0023,0.40803837113017,-0.000819715833932302,0.500327019267448
"Str_gra","TDq1",4216.46827647561,4073.3398104956,4062.17427904919,-2.7525,0.9248,-2.9765,0.0029,0.40803837113017,-0.000819715833932302,0.500327019267448
"For_ext","TDq1",4216.46827647561,4073.3398104956,4062.17427904919,4.4096,0.6807,6.4778,0,0.40803837113017,-0.000819715833932302,0.500327019267448
"Area","TDq1",4216.46827647561,4073.3398104956,4062.17427904919,4.2274,0.6,7.046,0,0.40803837113017,-0.000819715833932302,0.500327019267448
"GDP","TDq1",4216.46827647561,4073.3398104956,4062.17427904919,-1.3826,0.6054,-2.2839,0.0224,0.40803837113017,-0.000819715833932302,0.500327019267448
"HDI","TDq1",4216.46827647561,4073.3398104956,4062.17427904919,3.1781,0.7768,4.0911,0,0.40803837113017,-0.000819715833932302,0.500327019267448
"HMG","TDq1",4216.46827647561,4073.3398104956,4062.17427904919,3.4403,0.6699,5.1353,0,0.40803837113017,-0.000819715833932302,0.500327019267448
