"","Assemblage","qTD"
"3","1040015030",10.4131873781624
"6","1041473880",23.9290989660266
"9","1041576090",18.0708631418533
"12","1040009450",23.2834994462901
"15","1041515680",22.3001387242981
"18","1041438780",12.6876876876877
"21","1040012690",9.96312150148173
"24","1040012820",21.3866617576316
"27","1040012680",17.5890834329943
"30","1041548760",18.07825774082
"33","1040014930",15.0160427807487
"36","1040012810",20.5855323618222
"39","1041576130",16.3625510680808
"42","1041629370",14.4352862552907
"45","1040014500",13.0195112821533
"48","1041629430",11.8754334489197
"51","1041533130",12.2036316472114
"54","1040040320",10.2684365781711
"57","1040015860",11.7711394035262
"60","1041620260",9.14285714285714
"63","1040014920",11.4884004884005
"66","1040018120",16.4033472803347
"69","1041438860",18.921032056294
"72","1041620200",10.3794741843522
"75","1041472390",14.2629051620648
"78","1041473950",23.7953101030024
"81","1041174950",14.9130434782609
"84","1040837890",11.6307389366774
"87","1040040200",9.19117647058824
"90","1040011670",17.6574394463668
"93","1040601200",11.7034372501998
"96","1040020570",25.0491604900923
"99","1041259940",15.9737619341988
"102","1041431480",12.2105263157895
"105","1041156960",29.4043261231281
"108","1040024080",25.5158235018656
"111","1041515780",16.4994224104736
"114","1041472430",16.5154366362834
"117","1041624310",9.26032735775526
"120","1040040240",13.3769487750557
"123","1040029810",22.0764779548301
"126","1040028970",18.8408842993237
"129","1040028960",7.3146944083225
"132","1040029710",7.45070422535211
"135","1040040520",9.70603674540683
"138","1040029700",17.5584415584416
"141","1040034610",5.36200512958694
"144","1040040340",7.36827195467422
"147","1040029430",16.0926711084191
"150","1041477980",20.8871189233727
"153","1040034260",7.65898502079054
"156","1040020580",20.7564575645756
"159","1040019430",15.4499178981938
"162","1041431680",17.760433604336
"165","1040023310",18.4219178082192
"168","1040008480",14.090148004186
"171","1040034270",5.88504326328801
"174","1040011660",7.7508896797153
"177","1040022430",40.6030025262685
"180","1040873640",16.6328380760514
"183","1041478080",10.2714835399743
"186","1041259950",17.1648484848485
"189","1040034900",9.35328701229289
"192","1040026800",11.3075630252101
"195","1040601190",10.3272490221643
"198","3040679760",28.9982300884956
"201","3040679750",25.6878366884037
"204","3040483880",26.752380952381
"207","4040095270",31.2212389380531
"210","3040024310",20.8314218716692
"213","3040496490",16.6423535132507
"216","5040524870",15.152684020426
"219","5040067860",24.9797702324294
"222","5040069970",17.1079888582549
"225","5040511570",16.3802709406602
"228","5040061660",8.64
"231","5040070700",18.3352755415203
"234","5040049720",29.8151459685809
