,Assemblage,qTD
168,1040008480,14.06031141
12,1040009450,26.09049042
174,1040011660,8.337588808
90,1040011670,18.27429697
27,1040012680,16.93929718
21,1040012690,9.86963202
36,1040012810,19.97406033
24,1040012820,20.17741464
45,1040014500,12.37489352
63,1040014920,12.04981587
33,1040014930,14.80007955
3,1040015030,10.25831745
57,1040015860,11.24408672
66,1040018120,16.17441111
159,1040019430,17.03310582
96,1040020570,23.94224858
156,1040020580,24.73371903
177,1040022430,38.57866819
165,1040023310,18.84804882
108,1040024080,24.54522302
192,1040026800,11.56367494
129,1040028960,7.601706391
126,1040028970,18.75207632
147,1040029430,16.68838021
138,1040029700,18.84408675
132,1040029710,9.213703021
123,1040029810,22.20541784
153,1040034260,7.183643582
171,1040034270,6.113277031
141,1040034610,5.013236788
189,1040034900,8.297521759
1101,1040035590,8.898885573
1098,1040036860,5.884824973
1095,1040036870,10.54906554
1434,1040040050,9.014224634
87,1040040200,10.15528914
120,1040040240,12.92270436
54,1040040320,12.01941826
144,1040040340,7.32016024
135,1040040520,10.66496753
1350,1040041020,14.15471534
195,1040601190,11.2811046
93,1040601200,12.57879059
84,1040837890,11.52449933
180,1040873640,16.87729294
1440,1040909890,45.52644853
105,1041156960,30.29431284
81,1041174950,19.90427799
99,1041259940,15.89727187
186,1041259950,17.74205403
102,1041431480,12.77791221
162,1041431680,17.39465909
18,1041438780,13.31761741
69,1041438860,18.47902692
75,1041472390,14.73927981
114,1041472430,17.03939482
6,1041473880,23.83312381
78,1041473950,22.42426485
150,1041477980,19.74794403
183,1041478080,10.25579229
15,1041515680,21.13071917
111,1041515780,17.26832044
51,1041533130,13.00480409
30,1041548760,17.06849176
9,1041576090,17.47439399
39,1041576130,15.92338227
72,1041620200,9.685086797
60,1041620260,10.46804434
117,1041624310,9.22145174
42,1041629370,14.27944176
48,1041629430,11.75990781
429,2040000010,17.76398208
1050,2040003550,29.68717083
1464,2040003560,33.70808056
1425,2040004130,21.64090963
1515,2040004140,9.925595433
1470,2040004280,12.15790205
603,2040004290,13.81284548
606,2040005120,17.54756746
1296,2040005130,14.13954365
627,2040005690,14.43469607
1209,2040006600,13.3748051
1065,2040007930,24.76125898
1113,2040007940,12.19117436
633,2040008490,20.15522052
615,2040008500,17.76228459
570,2040009230,35.87734062
441,2040012730,41.9352571
444,2040014550,26.48689615
423,2040016230,36.05630213
1341,2040018240,24.73493277
426,2040018360,21.00714807
1338,2040018370,8.302438807
624,2040018460,15.89782748
1170,2040018470,14.5805929
594,2040018840,37.32561421
450,2040018850,44.37531471
621,2040019150,26.2224327
471,2040019160,39.62706884
459,2040020320,40.66099484
456,2040021030,31.00910846
468,2040021040,41.28426217
453,2040022150,19.84257731
462,2040022160,21.79890991
465,2040023010,26.92643019
