"","all_ID"
"1",1040015030
"2",1041473880
"3",1040014490
"4",1041576090
"5",1040009450
"6",1041515680
"7",1041438780
"8",1040012690
"9",1040012820
"10",1040012680
"11",1041548760
"12",1040014930
"13",1040012810
"14",1041576130
"15",1041626210
"16",1041626200
"17",1041629370
"18",1040014500
"19",1041629430
"20",1041533130
"21",1040040320
"22",1041624330
"23",1041584690
"24",1040015860
"25",1041620260
"26",1040014920
"27",1041584780
"28",1040018120
"29",1040012600
"30",1041438860
"31",1041620200
"32",1041472390
"33",1041473950
"34",1041174950
"35",1040837890
"36",1040909900
"37",1040040200
"38",1041548220
"39",1040011670
"40",1040601200
"41",1040020570
"42",1041259940
"43",1041431480
"44",1040020240
"45",1040020040
"46",1041156960
"47",1040021500
"48",1040021910
"49",1041156950
"50",1040021510
"51",1041548750
"52",1040024080
"53",1041515780
"54",1040040260
"55",1041472430
"56",1040040230
"57",1041624310
"58",1040040240
"59",1040015850
"60",1040029810
"61",1040028970
"62",1040028960
"63",1040029710
"64",1040040540
"65",1040040520
"66",1040029700
"67",1040040420
"68",1040040220
"69",1040034610
"70",1040040340
"71",1040029430
"72",1040029440
"73",1040031860
"74",1040040300
"75",1041477980
"76",1041139430
"77",1040040410
"78",1040034260
"79",1040020580
"80",1040019430
"81",1041548260
"82",1040019180
"83",1041479540
"84",1040019420
"85",1041431680
"86",1040020250
"87",1041533240
"88",1040026820
"89",1040023310
"90",1040021940
"91",1040008480
"92",1040040630
"93",1040034270
"94",1040034170
"95",1041479650
"96",1040040370
"97",1040042410
"98",1040011660
"99",1040011530
"100",1040022430
"101",1040023900
"102",1040040920
"103",1040023890
"104",1040873640
"105",1040709280
"106",1041478080
"107",1040873650
"108",1040040310
"109",1041259950
"110",1040041270
"111",1040008470
"112",1040034900
"113",1040027410
"114",1040695300
"115",1040023300
"116",1040026800
"117",1040034490
"118",1040601190
"119",1040000010
"120",1040018130
"121",1040722570
"122",1040041770
"123",1040027430
"124",1040027420
"125",1040023950
"126",1041145090
"127",3040679760
"128",3040679750
"129",3040483880
"130",4040095320
"131",4040095270
"132",4040050430
"133",4040050390
"134",3040024310
"135",4040050440
"136",3040496490
"137",5040524870
"138",5040067860
"139",5040069970
"140",5040511570
"141",5040061660
"142",5040070700
"143",5040049720
"144",5040069590
"145",5040511420
"146",5040061670
"147",5040069960
"148",5040068450
"149",5040524780
"150",5040491510
"151",5040059450
"152",5040068460
"153",5040064140
"154",5040070710
"155",5040591050
"156",5040491370
"157",5040069600
"158",5040087660
"159",5040087840
"160",5040455970
"161",5040087600
"162",5040324690
"163",5040055960
"164",5040056460
"165",5040064130
"166",5040087780
"167",5040087620
"168",5040087630
"169",5040077640
"170",5040065600
"171",5040057330
"172",5040533380
"173",5040591010
"174",5040073410
"175",5040057720
"176",5040056470
"177",5040076890
"178",5040059440
"179",5040088370
"180",5040057320
"181",5040491380
"182",5040087590
"183",5040073420
"184",5040087760
"185",5040056740
"186",5040076530
"187",5040076520
"188",5040041880
"189",5040087740
"190",5040076880
"191",5040533450
"192",5040087810
"193",5040456070
"194",5040324520
"195",5040074330
"196",5040075470
"197",5040087640
"198",5040057710
"199",5040088050
"200",5040056750
"201",5040087830
"202",5040074320
"203",5040087690
"204",6040025420
"205",6040025130
"206",6040025140
"207",4041043580
"208",4040012990
"209",4040009890
"210",4040627620
"211",4040748300
"212",6040280410
"213",6040032290
"214",4040007410
"215",4040694190
"216",4040007850
"217",1040022420
"218",6040814820
"219",5040085040
"220",2040030100
"221",2040037990
"222",2040029950
"223",2040041120
"224",2040028670
"225",2040029940
"226",2040028660
"227",2040028320
"228",2040028310
"229",2040030060
"230",2040039390
"231",6040262220
"232",6040239720
"233",6040007010
"234",6040007960
"235",6040008320
"236",2040016230
"237",2040018360
"238",2040000010
"239",2040046500
"240",6040026990
"241",2040555780
"242",2040012730
"243",2040014550
"244",2040085720
"245",2040018850
"246",2040022150
"247",2040021030
"248",2040020320
"249",2040022160
"250",2040023010
"251",2040021040
"252",2040019160
"253",2040047500
"254",7040072800
"255",6040280400
"256",6040285930
"257",6040013430
"258",6040013760
"259",6040016760
"260",6040285990
"261",6040012580
"262",6040012800
"263",6040752460
"264",6040013420
"265",6040040460
"266",6040262110
"267",6040345000
"268",6040011790
"269",6040562010
"270",6040510890
"271",6040014330
"272",6040013750
"273",6040015570
"274",6040527670
"275",6040814830
"276",6040016720
"277",6040084750
"278",6040005500
"279",6040000740
"280",7040049270
"281",7040585110
"282",7040048420
"283",6040752470
"284",6040709820
"285",6040004870
"286",6040239820
"287",6040006470
"288",5040082270
"289",2040540100
"290",2040539930
"291",2040026550
"292",2040009230
"293",2040045150
"294",2040024170
"295",2040548500
"296",2040031070
"297",2040030110
"298",2040026060
"299",2040543090
"300",2040018840
"301",2040023020
"302",2040785900
"303",2040004290
"304",2040005120
"305",2040543160
"306",2040039590
"307",2040008500
"308",2040026560
"309",2040019150
"310",2040018460
"311",2040005690
"312",2040031060
"313",2040008490
"314",2040070520
"315",2040033480
"316",7040034530
"317",7040402430
"318",7040374950
"319",7040033480
"320",7040402320
"321",7040034520
"322",7040374800
"323",7040379430
"324",7040016260
"325",7040014940
"326",7040016270
"327",7040059990
"328",7040024580
"329",7040192560
"330",7040192420
"331",7040021740
"332",8040252610
"333",8040009560
"334",8040252760
"335",8040183170
"336",7040282770
"337",7040282720
"338",8040307300
"339",7040256540
"340",7040194860
"341",8040219290
"342",8040008900
"343",8040141350
"344",7040569650
"345",7040392520
"346",7040426320
"347",7040024290
"348",7040569640
"349",7040033120
"350",7040194980
"351",7040038340
"352",7040021750
"353",7040007380
"354",7040007390
"355",7040049990
"356",7040006400
"357",7040005420
"358",7040049280
"359",7040612640
"360",8040176200
"361",7040013550
"362",7040039630
"363",7040392650
"364",7040686450
"365",7040741760
"366",7040612840
"367",7040686540
"368",7040707810
"369",7040014930
"370",8040000820
"371",7040041050
"372",8040002270
"373",8040000810
"374",8040141480
"375",8040007180
"376",8040008390
"377",7040020100
"378",7040019200
"379",8040183760
"380",8040176060
"381",7040043170
"382",7040039880
"383",7040073720
"384",7040013180
"385",7040707710
"386",7040073620
"387",8040019790
"388",7040041060
"389",7040014250
"390",7040394680
"391",7040046590
"392",7040395340
"393",7040013560
"394",8040002260
"395",8040007190
"396",7040426310
"397",7040048410
"398",7040741770
"399",7040014200
"400",7040632220
"401",7040007830
