"","Assemblage","Taxonomic Diversity","Taxonomic Observed","Taxonomic Estimator","s.e.","LCL","UCL","qTD","proportion"
"1","1040000010","Species richness",8,8.48214285714286,NA,NA,NA,8.18079123028601,0.977900520231258
"2","1040008470","Species richness",4,7.6,NA,NA,NA,7.454519904276,0.53658720499298
"3","1040008480","Species richness",33,37.485342019544,NA,NA,NA,32.7076632516573,1.00893786713204
"4","1040009450","Species richness",44,66.9832512315271,NA,NA,NA,63.1146682778867,0.697143805086212
"5","1040010040","Species richness",4,7.6,NA,NA,NA,7.454519904276,0.53658720499298
"6","1040011530","Species richness",5,6.92857142857143,NA,NA,NA,6.814265639074,0.733754782221765
"7","1040011660","Species richness",13,20.8787878787879,NA,NA,NA,18.1562318016672,0.716007602348759
"8","1040011670","Species richness",38,44.7142857142857,NA,NA,NA,41.7631180581706,0.909893747566236
"9","1040012680","Species richness",48,50.9981458590853,NA,NA,NA,41.1229218636997,1.16723223508033
"10","1040012690","Species richness",26,26.3319783197832,NA,NA,NA,25.2935038013837,1.02793192292235
"11","1040012810","Species richness",44,45.1229910714286,NA,NA,NA,41.1341090061916,1.06967188698258
"12","1040012820","Species richness",54,54.9998227578873,NA,NA,NA,41.8916812476003,1.28903873971621
"13","1040014490","Species richness",17,29.0231481481481,NA,NA,NA,27.0747540089875,0.627891207962843
"14","1040014500","Species richness",28,28.9990521327014,NA,NA,NA,22.3363653293256,1.25356115854886
"15","1040014920","Species richness",19,23.1237113402062,NA,NA,NA,21.4402988039714,0.886181679356103
"16","1040014930","Species richness",35,66.9316239316239,NA,NA,NA,32.1747019485305,1.08781116468426
"17","1040015030","Species richness",40,40.3329952670723,NA,NA,NA,34.8910259304151,1.14642659346773
"18","1040015850","Species richness",4,4.14285714285714,NA,NA,NA,4.10129140122172,0.975302559288632
"19","1040015860","Species richness",27,27,NA,NA,NA,23.1854038392833,1.16452575884201
"20","1040018120","Species richness",27,28.4924242424242,NA,NA,NA,26.4607369750482,1.02037974321956
"21","1040019180","Species richness",2,2.5,NA,NA,NA,2.46882569377343,0.810101743936056
