,HYBAS_ID,Site_num,Sam_eff
2,1040008480,533,2520.857375
3,1040009450,256,1254.435852
4,1040011660,81,7248.905952
5,1040011670,294,1199.089182
6,1040012680,2351,50315.46146
7,1040012690,324,31321.5974
8,1040012810,788,26023.52024
9,1040012820,8774,41288.44027
11,1040014500,2402,325408.1149
12,1040014920,228,5057.327469
13,1040014930,1133,72330.99891
14,1040015030,3010,27037.19905
15,1040015860,2371,9080.352889
16,1040018120,258,2368.150034
18,1040019430,134,1759.675589
21,1040020570,3341,15524.09022
22,1040020580,110,970.3796037
27,1040022430,3477,17654.05665
29,1040023310,284,3797.634234
32,1040024080,2709,7559.836145
33,1040026800,230,3167.24136
37,1040028960,166,1731.213466
38,1040028970,808,10909.85195
39,1040029430,274,7201.713692
41,1040029700,205,5421.516279
42,1040029710,45,6068.615816
43,1040029810,1059,3837.988329
46,1040034260,484,607.2096359
47,1040034270,96,4585.337428
48,1040034610,2285,261059.3182
49,1040034900,837,212501.2694
51,1040035590,116,2111.463426
54,1040036860,188,3346.380658
55,1040036870,941,3637.192907
56,1040040050,80,35351.30358
57,1040040200,76,885.9120173
58,1040040240,421,2416.222784
60,1040040320,110,916.8966549
61,1040040340,86,752.0440733
63,1040040520,181,3452.156167
67,1040041020,78,1420.268321
71,1040601190,98,375.559507
72,1040601200,155,502.9255667
75,1040837890,2495,4514.81647
77,1040873640,334,6362.510715
79,1040909890,932,4970.6216
85,1041156960,508,521.6795865
86,1041174950,130,456.0720201
88,1041259940,993,2191.67754
89,1041259950,193,724.1732793
90,1041431480,193,1290.638391
91,1041431680,381,19972.00774
92,1041438780,218,1392.380485
93,1041438860,605,3650.366123
94,1041472390,379,2353.173462
95,1041472430,350,1773.845809
96,1041473880,476,1313.636513
97,1041473950,1252,8062.475167
98,1041477980,543,5044.386889
99,1041478080,239,3966.851067
101,1041515680,3816,71734.85175
102,1041515780,312,2382.663375
103,1041533130,122,2092.509502
107,1041548760,3142,23604.39574
108,1041576090,1398,18103.78988
109,1041576130,2167,26593.72108
110,1041620200,350,4024.015323
111,1041620260,95,1377.089008
112,1041624310,177,489.7881929
116,1041629370,598,3027.644214
117,1041629430,308,3118.557849
118,2040000010,16464,50089.30829
119,2040003550,583,9278.430911
120,2040003560,989,33146.65299
121,2040004130,574,7105.719237
122,2040004140,218,74008.69093
123,2040004280,535,14729.40568
124,2040004290,1009,41975.0313
125,2040005120,1003,45566.88292
126,2040005130,349,11603.66663
127,2040005690,1482,14039.88768
129,2040006600,1157,15334.37418
130,2040007930,782,4450.877284
131,2040007940,1391,8536.47086
132,2040008490,1110,27982.04108
133,2040008500,4910,174445.0445
134,2040009230,24791,84379.87041
135,2040012730,41173,247026.3898
136,2040014550,11692,135215.1508
137,2040016230,253185,815147.838
138,2040018240,884,150601.3834
139,2040018360,4271,74895.79296
140,2040018370,1941,383498.3107
141,2040018460,900,13447.52775
142,2040018470,2138,93970.99997
143,2040018840,2640,37110.34142
144,2040018850,2640,177690.4283
145,2040019150,19757,203178.3315
146,2040019160,7557,125340.8435
147,2040020320,96658,766798.3563
148,2040021030,126738,1085807.939
149,2040021040,34954,722591.6884
150,2040022150,109948,1501033.472
151,2040022160,501706,6590935.962
152,2040023010,579801,3554390.106
153,2040023020,558070,6198601.38
154,2040024170,62044,448350.5175
155,2040024180,1333,1452861.035
156,2040024230,53150,696439.054
158,2040026060,5728,48219.66888
159,2040026070,128,6646.174296
160,2040026550,6018,31239.90984
161,2040026560,742,28531.98697
162,2040026920,21538,232785.8647
163,2040026930,6278,143850.6043
164,2040027320,1100,12848.21585
165,2040027330,22794,202052.2567
167,2040028310,13836,48490.65987
168,2040028320,8027,863731.2501
169,2040028660,10795,402833.079
170,2040028670,41121,409099.0489
171,2040029940,3961,153503.3328
172,2040029950,1472,68672.41114
173,2040030060,3045,56875.91524
176,2040030100,9027,222639.313
177,2040030110,64146,482610.2756
178,2040031060,17099,543930.5255
179,2040031070,55586,770323.4372
180,2040031490,20620,725152.4508
181,2040031500,331729,2899288.045
182,2040033320,51691,1036747.776
183,2040033330,12793,2060661.705
184,2040033480,146145,605365.0893
185,2040037990,6650,88908.61665
186,2040039390,997,55911.97649
187,2040039400,297,32745.31422
188,2040039590,436,16513.52518
189,2040041120,3194,76978.88022
190,2040041840,76,219.2309379
191,2040045150,15183,719392.7592
192,2040046500,1623,61657.80866
193,2040047500,11016,329851.9619
194,2040048590,461,87476.28083
195,2040048790,2332464,10028863.79
196,2040054200,74073,865730.1841
197,2040056770,5764,1743391.204
198,2040059370,797,477731.8228
200,2040065840,59,18744.44021
201,2040065960,73,6299.131065
202,2040066030,176,4835.085136
204,2040067740,502,2379.056718
206,2040068680,487,2140.652754
208,2040068720,276,4335.403122
209,2040069150,424,9877.141406
210,2040069160,1275,26384.40526
211,2040070050,2853,15030.10763
212,2040070060,213,11259.35637
213,2040070510,97,1653.828186
214,2040070520,459,16413.31517
215,2040071700,327,3736.186393
216,2040072590,168,3990.252383
217,2040072920,68,1428.346374
218,2040072930,264,4618.444739
220,2040075170,2929,29688.23802
221,2040077470,368,15682.79836
222,2040077580,2020,47556.71491
225,2040079320,444,5100.364607
227,2040081260,186,1446.93033
228,2040084130,279,4359.606604
229,2040085500,112,242.8757706
233,2040085590,270,2922.229726
234,2040085620,100,543.2810262
235,2040085630,93,1278.359301
237,2040085670,191,1685.101322
238,2040085690,101,1934.88814
239,2040085700,56,643.9631331
240,2040085710,111,1252.60819
241,2040085720,1748,7619.595612
242,2040085730,46,466.2737128
245,2040085930,143,4531.899183
246,2040085960,570,9764.671419
247,2040085990,193,11145.56805
249,2040288980,1111,4723.326174
250,2040289120,2774,43890.39111
251,2040292580,166,11662.38109
252,2040292690,571,8491.956437
253,2040309560,695,7527.535073
254,2040309610,1421,2715.383825
255,2040315940,3314,25351.2378
258,2040400100,353,2943.832837
259,2040416390,1768,19979.34263
263,2040491970,303,3069.271327
265,2040539930,125638,594706.8168
266,2040540100,29763,739451.579
267,2040543090,657,14327.24117
268,2040543160,9149,45251.01727
269,2040548500,13455,87330.03744
271,2040555780,2813,29467.59298
272,2040785900,1660,4786.445248
273,2040816320,664,3000.118378
275,2040816870,199,3928.024381
277,2040828790,373,5149.66472
278,3040024310,775,2561.279014
280,3040386960,3194,3074.955852
282,3040481930,1606,4017.685823
283,3040483880,171,226.6182932
284,3040496490,512,735.2171454
285,3040679750,308,2037.572034
286,3040679760,274,1963.286542
287,4040000890,727,4501.004523
288,4040003020,49745,502159.7564
289,4040005050,21099,835759.5275
290,4040005060,2110,39236.03169
292,4040007410,504,2333.711481
294,4040009890,1063,5006.230709
296,4040012290,7409,409567.8228
297,4040012770,194,5823.849565
299,4040012990,1549,3836.012805
300,4040013000,159,1769.95879
301,4040015000,605,4295.346613
302,4040015010,212,29543.33254
303,4040015090,313,1610.920912
304,4040017030,2526,10728.88913
305,4040018350,11115,37926.2998
306,4040023060,193,724.7672108
307,4040023810,81,215.226619
309,4040025460,3339,16282.84854
