HYBAS_ID,Nat_dis,LSR,IE_lmx,Riv_a,GTD,Bio1,Bio2,Bio8,Bio12,Bio15,Elev_range,Str_gra,For_ext,Cro_ext,Area,GDP,HDI,HMG,HFP
1040000010,0,32,4,15138.731,852,25.10540793,12.71357202,25.29882281,134.0288095,84.07682183,2885,102,0,1,236343.2,69711.28541,530,0.124650175,4.941649331
1040003990,1.251,54,6,8114.44,800,26.18598465,10.45754713,26.76953107,156.9210869,64.25578713,2346,124,0,0,111056.1,124831.8953,389,0.178519124,5.606085172
1040006850,0.812,9,4,987.869,711,24.81739775,10.51605257,25.31325505,78.18770465,85.09349329,1941,78,0,0,28620.5,33259.3616,370,0.136821568,5.101102847
1040006860,0.108,14,0,327.165,773,25.78009688,9.257291143,25.52740189,78.44491939,92.69979216,771,82,0,0,7037.8,10428.11299,370,0.107971204,4.425704863
1040007000,0,12,6,611.821,478,23.63416864,11.32879617,24.97484619,130.3979953,98.49764604,1993,42,0,0,26077.6,26750.4359,370,0.140149864,5.016729629
1040007010,0.024,16,0,26.074,673,26.10160296,8.744533466,26.79414313,97.56103576,100.2397269,338,114,0,0,708.7,14333.62827,370,0.101034182,2.902266289
1040007060,0.725,13,0,214.187,379,25.37576476,9.642627723,26.37924152,117.0165322,114.8762456,839,39,0,0,6517.1,22666.73279,370,0.130682319,5.764862398
1040007070,0.031,16,0,325.34,488,25.42133728,9.173949947,26.3268265,132.0585007,117.0230811,722,64,0,0,7799.8,16816.42864,370,0.124113072,4.728513597
1040007260,79.127,26,2,5343.467,469,24.35773997,11.53029582,25.63459201,161.2317554,110.2093679,2319,47,0,0,64696.7,41858.19086,370,0.171496045,5.731355718
1040007270,0.002,12,2,1029.497,429,26.36626734,9.69135364,27.20835915,241.6791028,109.3668864,730,50,0,1,30966,812094.4958,370,0.233829647,5.636475866
1040008100,535.321,20,11,449.533,46,26.7129485,8.29029862,26.6974444,435.8075767,85.94969839,62,6,0,5,745374.3,336021.5103,370,0.282748432,17.0074354
1041144990,361.398,29,25,533.868,31,27.29934911,9.202673162,27.54646673,507.7754533,83.35448808,32,6,0,5,513314,464045.0169,370,0.489548737,16.23694239
1041145090,248.108,38,6,26099.559,166,25.782658,11.36212596,26.43409794,422.5643898,105.3668711,4806,43,1,8,230636.1,21194.92691,509,0.185550336,6.86640286
1041139500,71.232,26,4,2373.212,60,26.80635739,9.546274878,27.17642788,527.4332665,90.57282147,497,11,0,5,298252.8,101170.7849,370,0.318268434,11.21509541
1041139430,316.382,56,5,34065.789,398,24.51295218,12.26042399,25.33492248,518.8684554,104.0152619,4279,101,1,5,217976.4,61757.92776,431,0.241842474,6.7136581
1041115400,13.177,22,18,4923.492,231,27.74539233,11.92676263,28.59459422,349.2467891,113.6260998,686,29,0,2,221362.6,143361.1316,372,0.311006003,9.552841024
1041115240,45.244,13,8,3820.426,75,27.34266504,11.15777665,28.07037862,437.310446,107.0115492,666,23,0,4,52927.1,110465.2639,370,0.334633487,9.343861447
1041014470,37.476,24,11,3469.074,450,24.98220865,12.94563422,25.93133663,417.3914398,107.2623521,2686,59,0,2,45572.2,43363.39953,448,0.198177913,5.616882701
1041014460,193.852,57,9,17858.629,459,23.85557325,13.30737641,24.42802232,591.5698107,88.21291429,3881,136,0,7,144786.4,69331.75879,447,0.254124773,6.762870253
1040008110,0.013,50,9,3328.326,48,27.4238441,8.282246894,27.61651266,516.052837,82.95803898,324,9,42,7,49488.3,23981.41967,486,0.169162159,7.421315308
1040008470,242.12,96,6,17945.857,149,24.47972383,10.13048744,24.93287385,704.0524504,97.47096642,4602,73,14,8,95248.8,58383.76421,555,0.287545338,6.29677406
1040008480,0.122,134,5,29833.705,291,22.77785869,10.33323117,23.65650614,843.7496073,77.49827191,5779,93,33,7,211436,776515.8124,539,0.286391668,8.744504976
1040009450,918.116,194,7,43214.281,310,22.17301264,9.935303142,23.20050299,980.8534081,101.8491224,3154,87,34,3,204075.8,24004.94565,531,0.178809231,6.321299308
1040009460,2.602,258,6,10905.676,167,24.7623534,9.04175353,25.72625731,983.2011041,93.6695254,981,59,65,3,56548.9,26180.85191,531,0.143213741,6.757300689
1040010030,2286.021,446,4,63994.922,175,23.76146563,10.28180141,24.78472012,1142.745818,110.5600571,1924,56,47,6,155318.3,15021.68293,457,0.121108349,5.119785628
1040010040,0.665,266,8,12788.81,174,24.97594339,10.68137929,25.9898714,1029.179829,107.1028035,1028,51,58,4,56638.4,15498.69304,418,0.132512167,7.151517279
1040010590,686.047,343,1,20659.51,186,23.89139675,12.43986365,25.29957784,1052.917332,114.2073206,2129,43,40,7,61392.7,10224.58322,418,0.1443837,6.971908669
1040010600,0.002,371,7,39902.477,174,24.3491807,11.44931153,26.12205575,1210.423833,89.49022185,2020,41,79,6,141264.7,34814.79012,418,0.184248647,8.416418684
1040011530,0.734,430,68,881.43,7,25.17525659,11.48577732,27.37694013,1128.215734,75.4127162,16,3,38,1,4421.4,6523.52937,418,0.170207256,7.798055104
1040011660,3896.251,310,18,10825.605,99,25.06975268,13.22024711,27.29306395,969.7968784,90.80129718,578,38,79,4,1378121.1,11781.51682,418,0.195231873,8.248129846
1041472390,601.546,255,29,44060.891,189,21.63418441,10.28553003,22.9786022,1131.078477,105.5046381,2843,108,40,14,161059.1,105248.6099,480,0.332060512,8.58602708
1041472430,3174.302,172,5,64426.258,329,22.21759298,13.24182816,24.17669752,828.9056977,114.8580259,2439,77,35,7,1205882.3,56965.10619,458,0.227375959,7.196285073
