,Assemblage,qTD,Taxonomic Observed,Proportion
1,1040008480,32.70766325,33,1.008937867
2,1040009450,63.11466828,44,0.697143805
3,1040011660,18.1562318,13,0.716007602
4,1040011670,41.76311806,38,0.909893748
5,1040012680,41.12292186,48,1.167232235
6,1040012690,25.2935038,26,1.027931923
7,1040012810,41.13410901,44,1.069671887
8,1040012820,41.89168125,54,1.28903874
9,1040014500,22.33636533,28,1.253561159
10,1040014920,21.4402988,19,0.886181679
11,1040014930,32.17470195,35,1.087811165
12,1040015030,34.89102593,40,1.146426593
13,1040015860,23.18540384,27,1.164525759
14,1040018120,26.46073698,27,1.020379743
15,1040019430,29.89370023,24,0.80284474
16,1040020570,48.50729331,63,1.298773766
17,1040020580,37.29846069,30,0.804322737
18,1040022430,73.76807253,95,1.287820011
19,1040023310,42.54226794,41,0.963747397
20,1040024080,55.32596055,67,1.211004731
21,1040026800,22.02954186,21,0.953265398
22,1040028960,19.60845766,17,0.866972828
23,1040028970,42.77987484,44,1.028521008
24,1040029430,37.56504869,34,0.905096657
25,1040029700,31.28346926,28,0.895041396
26,1040029710,14.58370508,11,0.754266487
27,1040029810,76.01103123,72,0.947230933
28,1040034260,11.22351396,13,1.158282517
29,1040034270,12.29414691,10,0.813395193
30,1040034610,7.102751358,14,1.971067168
31,1040034900,11.59222747,13,1.121441072
32,1040035590,14.07502282,12,0.852574106
33,1040036860,14.79708172,13,0.878551612
34,1040036870,64.30244983,50,0.777575351
35,1040040050,18.43281089,13,0.705264112
36,1040040200,16.88085646,14,0.829341807
37,1040040240,21.52769012,23,1.068391447
38,1040040320,62.10472696,19,0.305934845
39,1040040340,9.949402841,10,1.005085447
40,1040040520,53.05883881,21,0.395787026
41,1040041020,36.49408534,19,0.520632311
42,1040601190,32.25658418,17,0.527024185
43,1040601200,37.54793205,22,0.585917754
44,1040837890,62.57314008,77,1.230559948
45,1040873640,36.90695613,35,0.948330712
46,1040909890,91.16618004,93,1.020115134
47,1041156960,68.23599069,61,0.893956391
48,1041174950,48.86853124,22,0.450187461
49,1041259940,52.67418392,55,1.044154762
50,1041259950,24.98855566,24,0.960439664
51,1041431480,32.17860662,28,0.870143333
52,1041431680,29.01029872,30,1.034115515
53,1041438780,36.44909835,30,0.823065627
54,1041438860,34.16941897,37,1.082839601
55,1041472390,28.36686866,27,0.951814609
56,1041472430,42.29552762,36,0.851153822
57,1041473880,40.57082625,41,1.010578383
58,1041473950,34.68511466,39,1.124401646
59,1041477980,30.70064179,33,1.074896096
60,1041478080,20.92288984,21,1.003685445
61,1041515680,37.76699536,50,1.323907277
62,1041515780,33.03395369,25,0.756797089
63,1041533130,23.67083964,20,0.844921444
64,1041548760,33.44856877,39,1.165969171
65,1041576090,41.62405912,46,1.105130085
66,1041576130,41.32531492,51,1.234110377
67,1041620200,13.65245895,16,1.171950054
68,1041620260,18.85896061,13,0.689327491
69,1041624310,14.88861097,15,1.007481493
70,1041629370,29.60217617,31,1.047220307
71,1041629430,21.41500591,22,1.027317018
72,2040000010,59.74069386,100,1.67390088
73,2040003550,78.67267443,59,0.749942727
74,2040003560,70.78106993,74,1.045477273
75,2040004130,54.72433433,51,0.931943725
76,2040004140,15.16129859,16,1.055318573
77,2040004280,39.9184576,37,0.92688952
78,2040004290,60.77833439,61,1.003647116
79,2040005120,66.30058527,62,0.935135033
80,2040005130,66.33218546,27,0.40704222
81,2040005690,36.15146954,38,1.051132927
82,2040006600,35.43408894,38,1.072413632
83,2040007930,44.8506371,45,1.003330229
84,2040007940,29.23353247,37,1.265669828
85,2040008490,66.99926687,68,1.014936479
86,2040008500,39.97575784,65,1.625985435
87,2040009230,90.59746211,129,1.423880945
88,2040012730,110.5072403,151,1.366426304
89,2040014550,82.05995767,113,1.3770419
90,2040016230,121.1190658,205,1.692549382
91,2040018240,46.32878502,47,1.014488077
92,2040018360,68.61100825,81,1.180568571
93,2040018370,25.30980968,29,1.145800793
94,2040018460,52.72969901,43,0.815479716
95,2040018470,46.84680618,50,1.067308619
96,2040018840,97.66167624,95,0.97274595
97,2040018850,81.58734189,89,1.090855492
98,2040019150,73.8236909,126,1.706769175
99,2040019160,108.4814731,135,1.244452128
100,2040020320,111.7602611,182,1.628485816
101,2040021030,101.2914596,182,1.796795117
102,2040021040,94.8146874,136,1.434376927
103,2040022150,85.77103439,167,1.947044258
104,2040022160,82.92573758,167,2.013850041
105,2040023010,108.0569666,196,1.813858061
106,2040023020,71.98874325,159,2.208678646
107,2040024170,115.9655931,160,1.379719585
108,2040024180,23.77354744,31,1.303970309
109,2040024230,75.02563349,124,1.65276845
110,2040026060,109.2309669,132,1.208448517
111,2040026070,16.87098096,16,0.948374018
112,2040026550,92.07426116,111,1.205548637
113,2040026560,55.9119656,55,0.983689259
114,2040026920,61.13360072,91,1.488543108
115,2040026930,52.68450727,73,1.385606581
116,2040027320,61.86450511,61,0.98602583
117,2040027330,95.00853127,128,1.347247434
118,2040028310,78.97583454,107,1.354844816
119,2040028320,59.03565769,82,1.388991047
120,2040028660,72.68839408,101,1.389492797
121,2040028670,86.02029566,118,1.371769291
122,2040029940,84.11192829,98,1.165114176
123,2040029950,84.76142105,92,1.085399453
124,2040030060,81.03183676,95,1.172378707
125,2040030100,94.18339479,119,1.263492363
126,2040030110,92.47866371,133,1.43816957
127,2040031060,77.8295536,106,1.361950507
128,2040031070,93.81576547,133,1.417672172
129,2040031490,94.21283791,129,1.369240147
130,2040031500,88.1656875,134,1.519865651
131,2040033320,85.05882222,128,1.504840964
132,2040033330,80.74771934,106,1.312730574
133,2040033480,90.65319928,136,1.500222839
134,2040037990,75.50973883,96,1.271359185
135,2040039390,77.39342599,78,1.007837539
136,2040039400,45.37966797,43,0.947560921
137,2040039590,36.77044139,35,0.951851506
138,2040041120,76.97574487,89,1.156208363
139,2040041840,33.66668124,20,0.594059149
140,2040045150,49.40670493,71,1.437051916
141,2040046500,70.68925456,77,1.089274466
142,2040047500,79.08656028,107,1.352947955
143,2040048590,23.22023872,21,0.904383467
144,2040048790,87.49546742,144,1.64579954
145,2040054200,59.41410795,99,1.666270915
146,2040056770,45.25452517,60,1.325834263
147,2040059370,28.99049701,33,1.138304045
148,2040065840,33.64733894,16,0.475520517
149,2040065960,18.78397977,17,0.905026529
150,2040066030,57.48190147,22,0.382729162
151,2040067740,35.84587784,23,0.641635842
152,2040068680,46.21186535,32,0.69246285
153,2040068720,29.55469886,28,0.947395882
154,2040069150,47.56416421,47,0.988138881
155,2040069160,24.02267317,25,1.040683517
156,2040070050,38.12015165,54,1.416573588
157,2040070060,28.03436224,26,0.927433261
158,2040070510,21.22727189,20,0.942184191
159,2040070520,60.76615791,55,0.905109059
160,2040071700,18.13617333,19,1.047630041
161,2040072590,16.28155001,16,0.982707419
162,2040072920,18.32158409,15,0.818706501
163,2040072930,24.06090539,22,0.914346307
164,2040073580,8.649254323,9,1.040552129
165,2040075170,16.72114407,19,1.136285885
166,2040077470,11.13536946,13,1.167451161
167,2040077580,18.74531396,23,1.226973315
168,2040079320,14.88312535,16,1.075043019
169,2040081260,13.26852676,13,0.979762127
170,2040084130,14.97320524,13,0.868217579
171,2040085500,19.89134491,17,0.854643066
172,2040085590,37.11793551,33,0.889058067
173,2040085620,15.21207023,14,0.920321809
174,2040085630,13.15421383,13,0.988276469
175,2040085670,13.80028177,14,1.01447204
176,2040085690,34.91637083,22,0.630076937
177,2040085700,13.56841823,13,0.958107259
178,2040085710,11.89922028,10,0.840391199
179,2040085720,38.58061229,48,1.244148217
180,2040085730,22.05808827,15,0.680022666
181,2040085930,25.72015806,22,0.855360218
182,2040085960,56.52661901,48,0.849157456
183,2040085990,37.55726153,23,0.612398217
184,2040288980,31.19271207,23,0.737351723
185,2040289120,18.11437979,19,1.048890451
186,2040292580,10.33009342,10,0.968045457
187,2040292690,32.06910585,17,0.530105207
188,2040309560,13.78006427,14,1.015960428
189,2040309610,62.88709839,43,0.68376505
190,2040315940,64.49391999,62,0.961330929
191,2040363700,15.50074965,14,0.903182124
192,2040400100,36.39096545,32,0.879339133
193,2040416390,49.07347194,41,0.835481949
194,2040491970,30.53275047,27,0.884296357
195,2040539930,122.4480115,179,1.461844891
196,2040540100,96.48341514,136,1.409568679
197,2040543090,61.69810364,61,0.988685169
198,2040543160,84.56659279,116,1.371700055
199,2040548500,84.5219933,121,1.431580057
200,2040555780,91.50162823,102,1.114734262
201,2040785900,50.58836466,59,1.166276087
202,2040816320,54.03733831,54,0.999309028
203,2040816870,19.58990397,20,1.02093405
204,2040828790,25.97879894,27,1.039309018
205,3040024310,51.07285914,53,1.03773317
206,3040386960,92.73285611,91,0.981313461
207,3040481930,45.85505741,38,0.828698123
208,3040483880,59.60323903,34,0.570438798
209,3040496490,38.38961868,39,1.015899645
210,3040679750,54.00493154,53,0.981391856
211,3040679760,76.20060994,58,0.761148763
212,4040000890,50.40265152,32,0.634887234
213,4040003020,85.21355939,136,1.595990133
214,4040005050,76.6617814,122,1.591405754
215,4040005060,70.85008561,85,1.199716264
216,4040007410,74.31383788,63,0.847755974
217,4040009890,80.28447071,78,0.971545298
218,4040012290,56.66001969,71,1.253088163
219,4040012770,48.58742515,37,0.761513908
220,4040012780,33.11984743,20,0.603867516
221,4040012990,118.8639045,106,0.891776191
222,4040013000,27.88260953,15,0.537969733
223,4040015000,117.0048913,95,0.811931868
224,4040015010,65.75766394,53,0.805989703
225,4040015090,21.64724161,20,0.923905242
226,4040017030,73.8048215,81,1.097489274
227,4040018350,70.33329521,94,1.336493615
228,4040023060,69.64364852,40,0.574352448
229,4040023810,38.38631272,23,0.599171902
230,4040025460,36.4654265,46,1.26146886
231,4040027100,40.689667,30,0.737287921
232,4040027780,35.52110081,33,0.929025262
233,4040027790,16.47878463,13,0.788893131
234,4040027940,40.71021747,43,1.056245893
235,4040027950,29.81281434,36,1.207534438
236,4040028760,47.08740978,57,1.210514663
237,4040029530,60.21130605,77,1.278829593
238,4040031830,27.0614239,20,0.739059411
239,4040037060,21.5580677,16,0.742181545
240,4040039450,61.29913677,55,0.897239389
241,4040045780,71.12256816,31,0.435867275
242,4040046100,41.63261338,13,0.3122552
243,4040046370,55.67777315,73,1.311115655
244,4040047500,35.06473223,29,0.827041821
245,4040048900,51.33734558,59,1.149260822
246,4040050240,17.26037621,18,1.042850966
247,4040050300,13.08690394,10,0.764122672
248,4040095270,58.51252951,49,0.837427478
249,4040169400,22.7366112,18,0.791674707
250,4040223160,14.01745399,13,0.927415207
251,4040234270,14.14420487,12,0.848404001
252,4040298550,29.23729197,20,0.684057881
253,4040484760,22.26430548,19,0.853383907
254,4040545530,18.34961225,17,0.926450095
255,4040627620,33.26594967,33,0.992005349
256,4040748300,78.96739914,81,1.025739747
257,4040773260,121.6260437,122,1.00307464
258,4040783120,78.2459626,84,1.073537818
259,4040839030,34.58671159,24,0.69390812
260,4040960200,52.05703332,49,0.941275307
261,4040960480,41.35415375,45,1.088161549
262,4040975160,59.17714044,65,1.098397109
263,4041043580,107.1064853,122,1.139053342
264,4041108500,42.27382096,31,0.733314361
265,4041108580,65.72697465,56,0.852009396
266,4041128330,56.63056884,38,0.671015686
267,4041144860,65.29544415,33,0.505395138
268,4041144880,35.97770793,35,0.972824619
269,5040000010,76.7696598,51,0.664324945
270,5040007690,77.32746192,78,1.008697273
271,5040011800,22.81518304,23,1.008100612
272,5040014020,22.79869751,23,1.008829561
273,5040017040,35.25213107,17,0.482240349
274,5040017830,51.88663915,51,0.982911995
275,5040022500,32.74761299,23,0.702341267
276,5040031240,37.47626965,32,0.853873672
277,5040038940,12.1176778,11,0.907764687
278,5040041880,33.28905653,27,0.811077357
279,5040049720,67.32448356,77,1.143714678
280,5040055960,22.43032761,27,1.203727403
281,5040056460,22.68203681,26,1.146281536
282,5040056470,17.54471786,19,1.082947025
283,5040056740,26.67502549,20,0.749764982
284,5040056750,18.60095523,19,1.021452918
285,5040057320,20.5683123,20,0.972369522
286,5040057330,28.64976344,16,0.558468835
287,5040057720,28.29437443,29,1.024938723
288,5040059440,25.24274039,19,0.752691653
289,5040059450,39.59988632,41,1.035356508
290,5040061660,14.55996133,13,0.892859514
291,5040061670,38.20269586,51,1.334984321
292,5040064130,22.10202125,21,0.950139345
293,5040064140,30.92809319,32,1.034658031
294,5040065600,25.55720306,19,0.743430334
295,5040067860,62.04538874,75,1.208792491
296,5040068450,60.18395148,54,0.897249161
297,5040068460,49.8699598,52,1.042711889
298,5040069590,50.97668596,55,1.07892459
299,5040069600,32.15268742,28,0.87084478
300,5040069960,47.00656179,45,0.957313156
301,5040069970,52.16293654,69,1.32277829
302,5040070700,46.37268887,53,1.142914101
303,5040070710,123.6197259,170,1.375185059
304,5040073410,10.92939905,11,1.006459729
305,5040073420,30.51543801,31,1.015879241
306,5040076530,14.71250865,11,0.747663112
307,5040076890,20.03763456,15,0.748591355
308,5040077640,14.25076109,18,1.263090433
309,5040082270,40.53010001,70,1.727111455
310,5040085040,45.75228371,72,1.573691937
311,5040087630,9.460020066,9,0.951372189
312,5040491370,9.197720245,10,1.087225936
313,5040491510,28.15352088,20,0.710390721
314,5040511570,36.15550541,33,0.912724069
315,5040524870,35.87141759,48,1.338112716
316,5040533380,19.93143748,15,0.752579939
317,5040533450,9.98065188,9,0.901744706
318,5040591010,9.074059431,9,0.991838335
319,5040591050,99.52864514,137,1.376488144
320,6040000010,57.55272716,42,0.729765592
321,6040000740,73.1125096,111,1.518208041
322,6040000750,76.75211559,85,1.10746133
323,6040005190,45.30995736,23,0.507614691
324,6040005490,49.60235587,54,1.088657969
325,6040005500,90.16511419,72,0.798535006
326,6040007010,65.70337925,52,0.791435701
327,6040007960,88.44458831,95,1.074118856
328,6040008320,89.76486857,88,0.980338983
329,6040009770,39.42292458,37,0.938540212
330,6040012800,22.35509269,19,0.849918194
331,6040013420,53.64762124,21,0.391443265
332,6040013430,68.21057209,43,0.630400812
333,6040013750,50.8511045,42,0.825940762
334,6040013760,58.48747317,82,1.402009619
335,6040014330,83.34097706,66,0.791927361
336,6040015940,30.03336361,26,0.8657039
337,6040015950,39.36896938,23,0.584216462
338,6040016720,18.35754875,18,0.980523067
339,6040016760,61.63136605,51,0.827500724
340,6040016970,25.73206071,25,0.971550638
341,6040016980,23.0723281,28,1.213574975
342,6040019090,22.69416424,12,0.528770298
343,6040025130,41.38942759,43,1.038912652
344,6040025140,42.88292559,40,0.93277218
345,6040025420,48.26138646,45,0.932422446
346,6040026140,16.12363167,16,0.992332269
347,6040026990,19.47791964,9,0.462061666
348,6040029280,14.55996133,13,0.892859514
349,6040032290,120.3630208,95,0.789278961
350,6040034810,26.03959307,35,1.344107026
351,6040040460,37.7145441,42,1.113628734
352,6040075390,38.34931387,37,0.964815176
353,6040075410,20.98136957,20,0.95322662
354,6040084750,55.48482282,33,0.594757239
355,6040102250,102.9779329,89,0.864262833
356,6040102330,30.74087281,23,0.748189557
357,6040239720,98.19653352,93,0.947080275
358,6040239820,43.08757218,31,0.719464997
359,6040262110,144.3518057,110,0.762027184
360,6040262220,74.57682068,65,0.871584487
361,6040280400,150.8542315,151,1.000966287
362,6040280410,168.2153232,168,0.998719955
363,6040285930,87.04477797,71,0.815672136
364,6040285990,119.9473496,120,1.000438946
365,6040345000,38.39712376,19,0.49482873
366,6040527670,29.95222045,26,0.868049167
367,6040527680,33.17314754,15,0.45217295
368,6040709820,61.76398689,24,0.388575952
369,6040752460,26.81750653,21,0.783070565
370,6040752470,50.38186361,56,1.111511087
371,6040814820,111.398452,118,1.05926068
372,6040814830,108.4448096,55,0.507170423
373,6040870370,59.51001175,33,0.554528541
374,6040870380,36.06756064,20,0.554514906
375,7040000010,54.67129074,68,1.24379723
376,7040005410,25.07728733,24,0.957041313
377,7040005420,35.66233186,38,1.065550064
378,7040006390,40.49577804,38,0.938369426
379,7040006400,31.31651708,39,1.245349216
380,7040007380,44.3119071,48,1.08323029
381,7040007390,47.92434003,44,0.918113843
382,7040007830,40.09277953,41,1.022628026
383,7040007840,30.20389877,33,1.092574182
384,7040008720,81.65641162,103,1.261382884
385,7040013170,29.77215712,28,0.940476025
386,7040013180,49.88717648,75,1.50339236
387,7040013550,108.5888063,138,1.270849222
388,7040013560,84.69585147,89,1.050818883
389,7040014040,111.8202208,97,0.867463857
390,7040014050,75.33614648,64,0.849525799
391,7040014200,109.4023381,120,1.096868697
392,7040014210,68.64339572,57,0.8303785
393,7040014250,84.84845579,112,1.320000452
394,7040014930,79.07411132,84,1.062294582
395,7040014940,87.51823803,106,1.21117612
396,7040016260,86.42552478,111,1.284342794
397,7040016270,37.91715654,49,1.292290996
398,7040019010,9.040422565,9,0.995528686
399,7040019200,52.24397969,23,0.440242113
400,7040020100,140.5472651,53,0.377097341
401,7040021740,61.21231839,46,0.751482728
402,7040024300,9.397664374,9,0.957684765
403,7040024580,65.56807791,66,1.006587384
404,7040024600,19.64206323,17,0.865489526
405,7040024830,15.41016978,15,0.973383176
406,7040033480,80.7323875,75,0.928995194
407,7040034520,90.45485019,93,1.02813724
408,7040034530,119.9824351,141,1.175172015
409,7040038340,106.5251761,149,1.398730379
410,7040039620,118.1482485,139,1.176488029
411,7040039630,93.17297755,93,0.998143479
412,7040039870,108.659896,125,1.150378425
413,7040039880,78.51991119,140,1.782987243
414,7040041050,119.9892724,141,1.17510505
415,7040041060,57.85214392,86,1.486548193
416,7040041400,110.2260649,132,1.197538895
417,7040041410,99.53905243,140,1.40648315
418,7040042040,108.8307528,139,1.277212519
419,7040043090,95.73890833,101,1.054952493
420,7040043100,61.00997718,30,0.491722852
421,7040043160,115.6938214,119,1.028576968
422,7040043170,76.59103241,144,1.880115667
423,7040045890,107.4804149,115,1.069962375
424,7040045900,66.65867546,75,1.125134868
425,7040046590,120.1319413,141,1.173709494
426,7040046600,84.08961646,72,0.856229378
