HYBAS_ID,TDq0,Obs_TDq0,TDq1,Obs_TDq1,TDq2,Obs_TDq2,FDq0,Obs_FDq0,FDq1,Obs_FDq1,FDq2,Obs_FDq2,Nat_dis,LSR,IE_lmx,Riv_a,GTD,Bio1,Bio2,Bio8,Bio12,Bio15,Elev_range,Str_gra,For_ext,Cro_ext,Area,GDP,HDI,HFP,HMG,Sam_eff
1040008480,37.48534202,33,20.76069037,19.4618494,14.06031141,14.090148,3.416780395,5.528477154,2.73231479,3.921337259,2.487774939,3.280589263,0.122,134,5,29833.705,291,22.77785869,10.33323117,23.65650614,843.7496073,77.49827191,5779,93,33,7,211436,776515.8124,539,8.744504976,0.286391668,241.2077413
1040009450,66.98325123,44,39.40345498,30.71223657,26.09049042,23.28349945,3.817474536,6.737721804,3.078794947,5.172064996,2.71400781,4.310376646,918.116,194,7,43214.281,310,22.17301264,9.935303142,23.20050299,980.8534081,101.8491224,3154,87,34,3,204075.8,24004.94565,531,6.321299308,0.178809231,137.2039213
1040011660,20.87878788,13,10.72546078,9.197777047,8.337588808,7.75088968,3.280176298,3.469415279,2.732015979,2.954592278,2.513217661,2.733866818,3896.251,310,18,10825.605,99,25.06975268,13.22024711,27.29306395,969.7968784,90.80129718,578,38,79,4,11174.1,11781.51682,418,8.248129846,0.195231873,984.4193268
1040011670,44.71428571,38,28.1983155,24.80922824,18.27429697,17.65743945,3.614357038,6.106990116,2.983862598,4.549823056,2.697084148,3.736019738,0.329,239,7,63596.551,225,22.21757575,12.59451501,24.89267476,833.7037874,90.45448261,2444,55,67,6,245186.1,24008.13424,454,7.888918016,0.21623664,159.0628506
1040012680,50.99814586,48,26.3432091,25.92557277,16.93929718,17.58908343,3.740943995,7.196930678,3.193585095,4.867778731,2.910528882,3.943195977,159.337,114,5,10013.034,339,20.4754556,13.23465664,23.68457715,758.9222627,73.90070847,2237,86,75,7,46725.2,177692.3825,568,9.565511362,0.247508663,5414.63707
1040012690,26.33197832,26,14.99674684,14.19885132,9.86963202,9.963121501,3.306789085,4.854302711,2.745803257,3.452261863,2.57041791,2.959928693,0.014,157,4,1832.431,287,21.76134888,12.82477561,24.74129208,750.0560168,72.83899809,1658,61,91,7,10344.3,1305700.337,460,11.84671342,0.333358274,2030.103535
1040012810,45.12299107,44,29.20438161,28.0214188,19.97406033,20.58553236,3.783069612,6.852539487,3.34069067,5.144296663,3.049053989,4.30756157,111.612,163,3,6520.484,427,18.76520997,12.70064749,21.81037252,815.3738053,70.37804143,2200,100,84,14,30280.3,229324.6555,595,10.24520201,0.338967351,2080.560629
1040012820,54.99982276,54,29.72322564,29.57789452,20.17741464,21.38666176,3.677216977,7.688371742,3.015861991,5.068395618,2.726095334,4.158608186,0.742,155,4,28967.182,548,17.03585098,12.825782,20.57769149,720.1433639,53.64997655,3393,121,48,13,212505,321673.0059,626,10.71829474,0.269970938,4305.78104
1040014500,28.99905213,28,16.5368455,16.30926856,12.37489352,13.01951128,3.255279287,5.250037994,2.536932539,3.571334038,2.247848061,3.104952843,0.003,101,16,448.073,634,16.43792714,10.03353776,16.36115043,637.8231951,17.94337464,1324,162,62,14,7381.5,398447.6071,716,11.32621391,0.301142163,44435.41286
1040014920,23.12371134,19,15.76605107,13.89431657,12.04981587,11.48840049,3.40595783,4.30245653,2.697777948,3.453242464,2.350601885,3.035103632,42.665,25,3,2108.681,842,16.27750522,14.36208857,18.58143613,279.3480935,26.99513563,2112,114,5,6,45083.1,27812.60414,768,6.66541053,0.105296947,554.5315207
1040014930,66.93162393,35,21.24976726,19.98865602,14.80007955,15.01604278,4.091601576,6.368288129,3.051267805,4.251658799,2.669182453,3.582646142,0.041,117,9,2353.582,688,16.47707315,11.84774353,12.53750513,469.8705286,35.07687926,2146,130,27,31,15664.1,173679.9158,777,9.785145193,0.331728912,4915.698955
1040015030,40.33299527,40,16.25468344,15.91983477,10.25831745,10.41318738,5.182938683,7.639435371,3.05724275,3.895950746,2.620427075,3.111423366,0.084,62,7,8281.702,757,17.47717688,14.46646537,14.02797084,252.0153528,48.22683731,1935,94,4,13,111328.1,806874.4431,732,7.80653337,0.152346921,2281.544372
1040015860,27,27,15.42562146,15.31543909,11.24408672,11.7711394,3.165145537,4.906866665,2.760583767,3.610416134,2.570202849,3.181939873,0,14,7,10936.167,1078,19.6365779,13.99706225,22.11716802,146.0050714,103.1569379,2599,105,0,1,261113.2,45090.32636,640,2.703495329,0.037648044,559.144463
1040018120,28.49242424,27,21.63951927,20.09022352,16.17441111,16.40334728,3.486753652,5.119108335,3.044900051,4.231450985,2.788400065,3.749217509,221.718,113,5,22217.396,359,20.80775332,13.16415386,22.13323584,762.7757299,104.4443012,2460,62,30,3,108945.8,20859.60443,548,6.424716475,0.319514693,229.4719025
1040019430,32.90721649,24,22.08721929,18.54014229,17.03310582,15.4499179,3.001259894,4.475134525,2.504987126,3.736404175,2.292831896,3.338525874,0.099,293,6,20742.559,303,24.31187091,8.805364292,25.85427182,916.1777668,90.90223459,1481,76,69,1,76150.4,1647768.462,533,7.154734353,0.284034378,236.3743329
1040020570,63.5622962,63,33.55351182,33.16230654,23.94224858,25.04916049,4.077851761,8.712462689,3.083540071,5.407863643,2.758837734,4.48504157,4804.906,709,5,88144.266,163,24.25263074,8.791083135,24.36142725,1801.885247,63.55087519,965,54,91,1,215213.9,29190.85572,681,3.31395687,0.106526727,1231.333106
1040020580,38.52761905,30,32.66733804,24.55625568,24.73371903,20.75645756,3.767455372,5.231686657,2.886811278,4.414991394,2.563890186,3.933022272,8.359,1096,11,46622.801,136,24.24781644,7.896666003,23.94064694,2038.790358,62.33973129,1162,53,81,4,113357.7,513687.6911,587,6.216158031,0.155591969,158.7893897
1040022430,105.5593442,95,53.56863852,52.68892108,38.57866819,40.60300253,9.120756839,15.13405736,6.262645059,9.475004609,5.154735848,7.726040199,5.373,592,12,59968.039,122,26.41465947,9.540620669,25.1982365,1413.881981,71.68957249,940,32,46,47,196951.9,2101488.983,509,10.10365116,0.460460282,482.3512746
1040023310,43.51581555,41,30.92463679,26.7751206,18.84804882,18.42191781,3.710857692,6.235210955,2.742318669,4.546932632,2.44479185,3.632591326,0.124,357,12,16226.081,141,26.19235322,7.736765637,26.59305921,1460.498692,57.19637876,819,31,17,18,74783.4,807374.3167,570,10.49757804,0.528751243,401.1585459
1040024080,69.24877584,67,37.24016764,36.52096226,24.54522302,25.5158235,3.935254858,9.002090819,2.886484289,5.587638775,2.569257255,4.403023914,0.433,1215,14,182129.094,131,25.99655401,11.78677422,25.20731932,2272.819671,91.55581106,1693,49,38,8,358341.1,96337.51881,430,7.344590276,0.277736164,798.122236
1040026800,23.64367816,21,16.30041869,14.64376575,11.56367494,11.30756303,2.791306013,4.011857819,2.46652723,3.305010294,2.347827634,2.936310416,143.102,117,6,17395.555,137,27.44705983,12.87176054,26.52085656,904.0343726,130.5240901,1468,29,13,10,72618.4,21850.55214,477,7.855997934,0.313543534,564.595199
1040028960,20.552,17,11.84559136,10.20222045,7.601706391,7.314694408,4.311635183,4.670785187,2.872767783,3.206914437,2.366286597,2.628616329,240.905,48,3,12199.811,603,20.12180692,13.13398609,14.93228068,141.2218308,67.73965043,3888,96,0,1,95886.5,8712.716829,669,4.349319855,0.08524817,365.0148874
1040028970,68.95088409,44,26.73717354,25.05029068,18.75207632,18.8408843,6.645019761,8.684599608,3.63061938,5.100260103,2.931666682,4.101329899,0.005,58,22,6785.869,595,17.1871439,11.57198994,12.21004249,293.2306995,70.24681475,3954,160,2,31,74061.5,398476.2702,647,11.36679604,0.306022578,1417.740661
1040029430,39.75021911,34,25.23287848,22.09071809,16.68838021,16.09267111,6.361895642,7.359273124,3.757865615,4.949561941,3.210157625,4.06084241,81.611,77,18,5246.233,460,15.56592775,12.9200713,10.35977288,411.088117,61.43211339,3839,169,6,51,38046.5,260802.7211,647,12.27729328,0.412837637,841.0760517
1040029700,32.52747253,28,25.13408529,21.1853638,18.84408675,17.55844156,5.718093172,6.712379882,3.487948382,4.682383381,2.694484399,3.858691818,135.366,130,20,7412.248,428,16.15227942,11.87887004,11.04744503,531.2001617,63.2056461,2903,144,14,63,37812.3,717969.9479,647,14.53647546,0.477407812,766.9462053
1040029710,14.98550725,11,12.86634087,9.03100077,9.213703021,7.450704225,2.899725759,3.374885113,2.807286583,3.050979973,2.645168111,2.793729923,0.252,274,24,1381.399,309,17.89580049,10.04622198,12.04338115,764.9980053,82.08168137,1574,76,42,55,7415.2,2731770.523,647,15.92849633,0.495877667,1348.581292
1040029810,95.11048951,72,36.46665069,33.98135493,22.20541784,22.07647795,10.45935878,13.10377696,5.088920488,6.908945324,3.621873045,4.93623528,0.366,83,19,24463.094,451,16.20815767,11.80897956,11.10802047,444.354885,50.70933613,3620,110,11,31,275925.8,1418953.292,717,12.91240827,0.450983106,590.7385246
1040034260,13,13,9.143247373,9.000522247,7.183643582,7.658985021,2.707110883,3.287442147,2.538729862,2.863513917,2.44395164,2.707219119,1934.054,7,4,141502.406,595,26.00416817,15.8710684,28.450103,41.3546591,103.8448735,1731,30,0,2,797088.8,595150.1293,548,3.644312212,0.098182601,107.8926212
1040034270,14.43478261,10,7.60131129,6.853225448,6.113277031,5.885043263,2.458606175,2.700668397,2.109238182,2.33383357,2.030058102,2.204949768,0.004,3,35,991.011,256,20.52176435,11.84137353,14.11786966,59.37023331,81.54689362,598,17,0,53,20936.3,9808673.215,691,28.06946234,0.659876771,1003.042562
1040034610,14.3994543,14,6.147817206,6.087464933,5.013236788,5.36200513,2.374812864,4.554535922,2.169046386,2.615015904,2.090923467,2.443598576,0.2,63,4,357.62,662,17.72583735,7.320260069,15.08255131,304.3331818,78.96980871,3533,604,11,0,8752.8,4138821.225,855,19.18585265,0.380980064,28448.03948
