"","my","null.aic","ini.aic","opt.aic","Estimate","Std..Error","z.value","Pr...z..","opt.r2","I.statistic","I.p.value"
"(Intercept)","Obs_TDq1",4236.63812234659,4083.56134841914,4072.31333428517,28.8286,0.7404,38.9384,0,0.421281400422116,-0.0140695310971873,0.505612745644051
"Nat_dis","Obs_TDq1",4236.63812234659,4083.56134841914,4072.31333428517,2.8156,0.6454,4.3628,0,0.421281400422116,-0.0140695310971873,0.505612745644051
"LSR","Obs_TDq1",4236.63812234659,4083.56134841914,4072.31333428517,2.0956,0.8086,2.5915,0.0096,0.421281400422116,-0.0140695310971873,0.505612745644051
"Riv_a","Obs_TDq1",4236.63812234659,4083.56134841914,4072.31333428517,-1.7656,1.2423,-1.4212,0.1553,0.421281400422116,-0.0140695310971873,0.505612745644051
"GTD","Obs_TDq1",4236.63812234659,4083.56134841914,4072.31333428517,2.4903,0.8047,3.0946,0.002,0.421281400422116,-0.0140695310971873,0.505612745644051
"Bio8","Obs_TDq1",4236.63812234659,4083.56134841914,4072.31333428517,-2.2621,0.7562,-2.9915,0.0028,0.421281400422116,-0.0140695310971873,0.505612745644051
"Str_gra","Obs_TDq1",4236.63812234659,4083.56134841914,4072.31333428517,-2.3516,0.9074,-2.5916,0.0096,0.421281400422116,-0.0140695310971873,0.505612745644051
"For_ext","Obs_TDq1",4236.63812234659,4083.56134841914,4072.31333428517,5.3381,0.6826,7.8198,0,0.421281400422116,-0.0140695310971873,0.505612745644051
"Area","Obs_TDq1",4236.63812234659,4083.56134841914,4072.31333428517,6.4432,1.156,5.5739,0,0.421281400422116,-0.0140695310971873,0.505612745644051
"GDP","Obs_TDq1",4236.63812234659,4083.56134841914,4072.31333428517,-1.5909,0.5906,-2.6935,0.0071,0.421281400422116,-0.0140695310971873,0.505612745644051
"HDI","Obs_TDq1",4236.63812234659,4083.56134841914,4072.31333428517,4.0578,0.7698,5.271,0,0.421281400422116,-0.0140695310971873,0.505612745644051
"HMG","Obs_TDq1",4236.63812234659,4083.56134841914,4072.31333428517,3.7959,0.665,5.7081,0,0.421281400422116,-0.0140695310971873,0.505612745644051
