"","my","null.aic","ini.aic","opt.aic","Estimate","Std..Error","z.value","Pr...z..","opt.r2","I.statistic","I.p.value"
"(Intercept)","TDq0",5301.63321761372,5101.49114166086,5091.93659129655,70.8631,2.0317,34.8784,0,0.493083627177834,-0.309265710628243,0.621440293896875
"Nat_dis","TDq0",5301.63321761372,5101.49114166086,5091.93659129655,6.0845,1.7413,3.4942,5e-04,0.493083627177834,-0.309265710628243,0.621440293896875
"LSR","TDq0",5301.63321761372,5101.49114166086,5091.93659129655,5.5979,2.0648,2.7111,0.0067,0.493083627177834,-0.309265710628243,0.621440293896875
"Riv_a","TDq0",5301.63321761372,5101.49114166086,5091.93659129655,-11.8125,3.3495,-3.5266,4e-04,0.493083627177834,-0.309265710628243,0.621440293896875
"Bio2","TDq0",5301.63321761372,5101.49114166086,5091.93659129655,6.2361,2.1432,2.9097,0.0036,0.493083627177834,-0.309265710628243,0.621440293896875
"Bio8","TDq0",5301.63321761372,5101.49114166086,5091.93659129655,-4.039,2.0472,-1.9729,0.0485,0.493083627177834,-0.309265710628243,0.621440293896875
"Bio15","TDq0",5301.63321761372,5101.49114166086,5091.93659129655,-7.1537,2.1954,-3.2585,0.0011,0.493083627177834,-0.309265710628243,0.621440293896875
"Elev_range","TDq0",5301.63321761372,5101.49114166086,5091.93659129655,2.7839,1.9266,1.445,0.1484,0.493083627177834,-0.309265710628243,0.621440293896875
"For_ext","TDq0",5301.63321761372,5101.49114166086,5091.93659129655,11.5951,1.8666,6.212,0,0.493083627177834,-0.309265710628243,0.621440293896875
"Area","TDq0",5301.63321761372,5101.49114166086,5091.93659129655,24.6795,3.1721,7.7801,0,0.493083627177834,-0.309265710628243,0.621440293896875
"GDP","TDq0",5301.63321761372,5101.49114166086,5091.93659129655,-2.7895,1.5888,-1.7557,0.0791,0.493083627177834,-0.309265710628243,0.621440293896875
"HDI","TDq0",5301.63321761372,5101.49114166086,5091.93659129655,12.8276,2.2845,5.6151,0,0.493083627177834,-0.309265710628243,0.621440293896875
"HMG","TDq0",5301.63321761372,5101.49114166086,5091.93659129655,13.521,1.855,7.2888,0,0.493083627177834,-0.309265710628243,0.621440293896875
"Sam_eff","TDq0",5301.63321761372,5101.49114166086,5091.93659129655,7.6824,1.6169,4.7512,0,0.493083627177834,-0.309265710628243,0.621440293896875
